Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Gap Status,Notes,-
AH (Attorney Hub),Phase 1,Firm Hub,Attorney Directory,Navigation + Trust,Illinois Family Law Attorneys | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/attorneys/,Illinois family law attorneys,https://www.sterlinglawyers.com/illinois/attorneys/,MAPPED,Attorney directory / hub page. Full match to existing page.,
LH (Location Hub),Phase 1,Firm Hub,Location Directory,Navigation + Trust,Illinois Family Law Office Locations | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/locations/,Illinois family law office locations,https://www.sterlinglawyers.com/illinois/locations/,MAPPED,Location directory / hub page. Full match to existing page.,
1,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Divorce Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/,illinois divorce lawyer,https://www.sterlinglawyers.com/illinois/divorce/,MAPPED,Full match to existing page.,
2,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Child Custody Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/,illinois child custody lawyer,https://www.sterlinglawyers.com/illinois/child-custody/,MAPPED,Full match to existing page.,
3,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Child Support Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-support/,illinois child support lawyer,https://www.sterlinglawyers.com/illinois/child-support/,MAPPED,Full match to existing page.,
4,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Alimony Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/spousal-support/,illinois alimony lawyer,https://www.sterlinglawyers.com/illinois/spousal-support/,MAPPED,Illinois uses 'spousal support' terminology; treat as alimony equivalent. Full match to existing page.,
5,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Property Division Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/property-division/,illinois property division lawyer,https://www.sterlinglawyers.com/illinois/property-division/,MAPPED,Full match to existing page.,
6,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Paternity Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/paternity/,illinois paternity lawyer,https://www.sterlinglawyers.com/illinois/paternity/,MAPPED,Paternity content also exists under Child Custody section. Full match to existing page.,
7,Phase 1,Practice Area,Practice Area Hub,Pillar Hub,Illinois Guardianship Lawyer | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/guardianship/,illinois guardianship lawyer,https://www.sterlinglawyers.com/illinois/guardianship/,MAPPED,Full match to existing page.,
8,Phase 1,Procedural,Process Page,Cluster Support,Contested Divorce in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/contested/,illinois contested divorce,https://www.sterlinglawyers.com/illinois/divorce/contested/,MAPPED,Full match to existing page.,
