Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Gap Status,Notes,Keyword Intent,AI Overview,MSV
1,Phase 02,Core Content Pages,Home Page,Home Page,{Brand},/,{brand},https://tdefamilylaw.com/,MAPPED,Homepage exists,N/A,N/A,N/A
2,Phase 03,Core Content Pages,Individual Service Pages,Divorce,Divorce in Georgia,.com/georgia/divorce/,divorce in Georgia,https://tdefamilylaw.com/family-law/divorce/,MAPPED,URL structure differs from ideal - currently under /family-law/,Research,Yes,2900
3,Phase 03,Core Content Pages,Individual Service Pages,Child Custody,Child Custody in Georgia,.com/georgia/child-custody/,child custody in Georgia,https://tdefamilylaw.com/family-law/child-custody-lawyer/,MAPPED,URL structure differs from ideal,Research,Yes,50
4,Phase 03,Core Content Pages,Individual Service Pages,Child Support,Child Support in Georgia,.com/georgia/child-support/,child support in Georgia,,GAP - MISSING,No dedicated child support service page exists,Research,Yes,260
5,Phase 03,Core Content Pages,Individual Service Pages,Alimony,Alimony in Georgia,.com/georgia/alimony/,alimony in Georgia,https://tdefamilylaw.com/family-law/alimony-spousal-support/,MAPPED,Combined with spousal support,Research,Yes,390
6,Phase 03,Core Content Pages,Individual Service Pages,Property Division,Property Division in Georgia,.com/georgia/property-division/,property division in Georgia,https://tdefamilylaw.com/family-law/property-division-enforcement/,PARTIAL,Only enforcement page exists - need main property division page,Research,Yes,N/A
7,Phase 03,Core Content Pages,Individual Service Pages,Paternity,Paternity in Georgia,.com/georgia/paternity/,paternity in Georgia,https://tdefamilylaw.com/family-law/paternity-lawyer-in-atlanta/,MAPPED,Location-specific (Atlanta) vs state-level,Research,Yes,N/A
8,Phase 03,Core Content Pages,Individual Service Pages,Guardianship,Guardianship in Georgia,.com/georgia/guardianship/,guardianship in Georgia,,GAP - MISSING,No dedicated guardianship service page,Research,Yes,260
9,Phase 03,Core Content Pages,Individual Service Pages,Adoption,Adoption in Georgia,.com/georgia/adoption/,adoption in Georgia,,GAP - MISSING,No dedicated adoption service page,Research,Yes,720
10,Phase 03,Core Content Pages,Individual Service Pages,Pre/Postnup,Prenuptial & Postnuptial Agreements in Georgia,.com/georgia/prenup-postnup/,prenuptial agreements Georgia,https://tdefamilylaw.com/family-law/prenuptial-agreement-atlanta/,PARTIAL,Only prenup page exists - need combined prenup/postnup hub,Research,Yes,0
11,Phase 01,Core Content Pages,Location Pages,Location Hub,TDE Law Georgia Family Law Office Locations,.com/georgia/locations/,TDE Law office locations Georgia,,GAP - MISSING,No location hub page,Purchase,No,N/A
12,Phase 01,Core Content Pages,Location Pages,Individual Location Pages,Atlanta Divorce & Family Lawyers,.com/georgia/locations/atlanta/,Atlanta divorce lawyers,https://tdefamilylaw.com/atlanta-attorneys/,PARTIAL,Attorney page exists but not as location page format,Purchase,No,720
13,Phase 01,Core Content Pages,Location Pages,Individual Location Pages,Gwinnett Divorce & Family Lawyers,.com/georgia/locations/gwinnett/,Gwinnett divorce lawyers,https://tdefamilylaw.com/gwinnett-divorce-attorney/,MAPPED,Gwinnett location page exists,N/A,N/A,0
14,Phase 02,Core Content Pages,Attorney Pages,Attorney Hub,Georgia Attorneys,.com/georgia/attorneys/,Georgia attorneys,https://tdefamilylaw.com/atlanta-attorneys/,MAPPED,Attorney hub exists,Purchase,No,320
15,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Tessie D. Edwards,.com/georgia/attorneys/tessie-edwards/,attorney Tessie D. Edwards,https://tdefamilylaw.com/tessie-d-edwards/,MAPPED,Founder bio exists,N/A,N/A,N/A
16,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Lolita K. Beyah,.com/georgia/attorneys/lolita-beyah/,attorney Lolita K. Beyah,https://tdefamilylaw.com/atlanta-attorneys/lolita-k-beyah/,MAPPED,Attorney bio exists,N/A,N/A,N/A
17,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney John Evans,.com/georgia/attorneys/john-evans/,attorney John Evans,https://tdefamilylaw.com/atlanta-attorneys/john-evans/,MAPPED,Attorney bio exists,N/A,N/A,0
18,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Barry Eidex,.com/georgia/attorneys/barry-eidex/,attorney Barry Eidex,https://tdefamilylaw.com/atlanta-attorneys/barry-eidex/,MAPPED,Attorney bio exists,N/A,N/A,N/A
19,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney McCoy G. Martinez,.com/georgia/attorneys/mccoy-martinez/,attorney McCoy G. Martinez,https://tdefamilylaw.com/atlanta-attorneys/mccoy-g-martinez/,MAPPED,Attorney bio exists,N/A,N/A,N/A
20,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Vernon Foley,.com/georgia/attorneys/vernon-foley/,attorney Vernon Foley,https://tdefamilylaw.com/atlanta-attorneys/vernon-foley/,MAPPED,Attorney bio exists,N/A,N/A,N/A
21,Phase 04,Supporting Content,Divorce Supporting Content,Procedure Content,Filing for Divorce in Georgia,.com/georgia/divorce/filing-for-divorce/,how to file for divorce in Georgia,,GAP - MISSING,Content gap,Research,Yes,480
22,Phase 04,Supporting Content,Divorce Supporting Content,Procedure Content,Annulment in Georgia,.com/georgia/divorce/annulment/,annulment Georgia,,GAP - MISSING,Content gap,Research,Yes,70
23,Phase 04,Supporting Content,Divorce Supporting Content,Procedure Content,Legal Separation in Georgia,.com/georgia/divorce/legal-separation/,legal separation Georgia,https://tdefamilylaw.com/family-law/legal-separation/,MAPPED,Page exists,Research,Yes,210
24,Phase 04,Supporting Content,Divorce Supporting Content,Procedure Content,Divorce Mediation in Georgia,.com/georgia/divorce/mediation/,divorce mediation Georgia,https://tdefamilylaw.com/family-law/mediation-or-litigation-guide/,PARTIAL,Guide exists but not dedicated mediation page,Purchase,Yes,90
25,Phase 04,Supporting Content,Divorce Supporting Content,Procedure Content,Uncontested Divorce in Georgia,.com/georgia/divorce/uncontested/,uncontested divorce Georgia,https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/,MAPPED,Page exists,Commercial,Yes,1000
26,Phase 06,Supporting Content,Divorce Supporting Content,Procedure Content,Contested Divorce in Georgia,.com/georgia/divorce/contested/,contested divorce Georgia,https://tdefamilylaw.com/family-law/contested-divorce-lawyer/,MAPPED,Page exists,Commercial,Yes,30
27,Phase 04,Supporting Content,Divorce Supporting Content,Situational Content,How Much Does A Divorce Cost In Georgia,.com/georgia/divorce/divorce-costs/,cost of divorce in Georgia,,GAP - MISSING,Content gap,Research,Yes,90
28,Phase 04,Supporting Content,Divorce Supporting Content,Situational Content,How Long Does A Divorce Take In Georgia,.com/georgia/divorce/process-duration/,how long does a divorce take in Georgia,,GAP - MISSING,Content gap,Research,Yes,110
29,Phase 04,Supporting Content,Divorce Supporting Content,Situational Content,Divorce and Child Custody in Georgia,.com/georgia/divorce/child-custody/,child custody and divorce Georgia,,GAP - MISSING,Content gap,Commercial,Yes,N/A
30,Phase 06,Supporting Content,Divorce Supporting Content,Situational Content,Divorcing a Narcissist in Georgia,.com/georgia/divorce/narcissist/,divorcing a narcissist Georgia,https://tdefamilylaw.com/family-law/divorcing-a-narcissist/,MAPPED,Page exists,Research,Yes,N/A
31,Phase 04,Supporting Content,Divorce Supporting Content,Legal Description Content,Divorce Laws In Georgia,.com/georgia/divorce/laws/,Georgia divorce laws,,GAP - MISSING,Content gap,Research,Yes,1900
32,Phase 04,Supporting Content,Divorce Supporting Content,Legal Description Content,Grounds For Divorce In Georgia,.com/georgia/divorce-grounds/,grounds for divorce in Georgia,https://tdefamilylaw.com/what-are-the-grounds-for-divorce-in-in-georgia/,MAPPED,Blog post exists,Research,Yes,210
33,Phase 04,Supporting Content,Divorce Supporting Content,Legal Description Content,Domestic Violence & Protective Orders in Georgia,.com/georgia/domestic-violence/protective-orders/,protective order Georgia,https://tdefamilylaw.com/temporary-protective-orders-tpo-emergency-orders-lawyer-in-atlanta/,MAPPED,TPO page exists,Commercial,Yes,390
34,Phase 06,Supporting Content,Child Custody Supporting Content,Procedure Content,Child Custody Modification in Georgia,.com/georgia/child-custody/modification/,child custody modification Georgia,https://tdefamilylaw.com/family-law/custody-modification-lawyer/,MAPPED,Page exists,Commercial,Yes,30
35,Phase 04,Supporting Content,Child Custody Supporting Content,Legal Description Content,Child Custody Laws in Georgia,.com/georgia/child-custody/laws/,Georgia child custody laws,https://tdefamilylaw.com/how-child-custody-is-determined-in-georgia/,PARTIAL,Blog content exists but not dedicated laws page,Research,Yes,70
36,Phase 04,Supporting Content,Child Custody Supporting Content,Legal Description Content,At What Age Can a Child Choose Which Parent to Live With in Georgia,.com/georgia/child-custody/child-preference-age/,what age can a child choose parent in Georgia,,GAP - MISSING,Content gap,Research,Yes,N/A
37,Phase 04,Supporting Content,Child Custody Supporting Content,Legal Description Content,Sole Custody in Georgia,.com/georgia/child-custody/sole-custody/,sole custody Georgia,,GAP - MISSING,Content gap,Research,Yes,10
38,Phase 04,Supporting Content,Child Custody Supporting Content,Legal Description Content,Full Custody in Georgia,.com/georgia/child-custody/full-custody/,full custody Georgia,,GAP - MISSING,Content gap,Research,Yes,10
39,Phase 06,Supporting Content,Child Custody Supporting Content,Legal Description Content,Visitation Rights for Grandparents & Third Parties in Georgia,.com/georgia/child-custody/grandparent-third-party-visitation/,grandparents visitation rights Georgia,https://tdefamilylaw.com/family-law/grandparents-rights-lawyer/,MAPPED,Grandparents rights page exists,Research,Yes,20
