URL,Topic Cluster,Top Keyword 1,Top Keyword 2,Top Keyword 3,Other Keywords Summary,Keyword Rows (Count),Exact Count,Partial Count,Optimize Count,None Action Count,Partial Ratio,Meta Title,Meta Description,H1,Metadata Gaps,L3M Δ Clicks %,L3M Δ Impr %,L3M Δ Engaged Sessions %,L3M Δ Users %,L3M Δ Conv %,YoY Δ Clicks %,YoY Δ Impr %,YoY Δ Engaged Sessions %,YoY Δ Users %,YoY Δ Conv %,Metrics Available (out of 10),Data Confidence,Primary Opportunity Theme,Secondary Opportunity Theme,Suggested Action,Notes,Major Decline Count (<=-20%),Moderate Decline Count (<=-10%),Rule Priority Tier,Rule Trigger Reason
https://omnipress.com/conferences/digital-conference-flipbook/,Conferences,digital flipbook,conference mobile apps,conference mobile application,6 remaining: apps for conference | mobile conference apps | conference attendee app | conference schedule app | conference agenda app | convention apps,9,0,9,9,0,1.0000,Digital Conference Flipbook | Omnipress,A digital conference flipbook that turns printed event programs into interactive online publications. View flipbook solutions from Omnipress.,Digital Conference Flipbook,Primary Keyword Missing in Title; Primary Keyword Missing in H1,-55%,-31%,-41%,-88.89%,N/A,-55%,-74%,-59%,-59%,N/A,8,High,Demand Recovery,Content Depth & Intent Coverage,Add 'digital flipbook' to title and H1. Expand sections to satisfy partial-intent keyword coverage. Refresh topical depth and internal links to recover demand.,"Mapping mix: partial=9, exact=0, optimize=9. Performance signals: L3M Users -88.89%; YoY Impr -74%; YoY Engaged -59%. Focus: Demand Recovery.",8,8,High,>=2 major metric declines; Major decline + mapping friction
https://omnipress.com/training/fulfillment/,Training,printing and fulfillment services,,,0 remaining,1,0,1,1,0,1.0000,Print Fulfillment Services for Training Materials | Omnipress,"Print fulfillment services for training manuals and educational publications, including warehousing, order processing, and shipping. Learn more from Omnipress.",Print Fulfillment Services,Primary Keyword Missing in Title; Primary Keyword Missing in H1,-13%,-58%,-71%,-281.82%,N/A,-13%,-59%,-68%,-68%,-100%,9,High,Conversion Path Optimization,Demand Recovery,Add 'printing and fulfillment services' to title and H1. Expand sections to satisfy partial-intent keyword coverage. Refresh topical depth and internal links to recover demand. Strengthen CTA messaging and conversion path copy.,"Mapping mix: partial=1, exact=0, optimize=1. Performance signals: L3M Users -281.82%; YoY Conv -100%; L3M Engaged -71%. Focus: Conversion Path Optimization.",7,9,High,Conv shock + mapping friction; >=2 major metric declines; Major decline + mapping friction
https://omnipress.com/training/training-manual-printing/,Training,best training manual printing,custom training manual printing,enterprise training manual printing,8 remaining: managed training manual printing | professional manual printing | professional training manual printing | services training manual printing | solutions training manual printing | manual printing | training manual | training manual printing,11,3,8,11,0,0.7273,Print Training Manuals and Course Materials | Omnipress,"Print high-quality training manuals, textbooks, coursebooks, workbooks and other educational materials for associations, non-profits, and corporations.",Training Manual Printing,Primary Keyword Missing in Title; Primary Keyword Missing in H1,700%,-36%,-75%,-296.72%,-1100.00%,700%,2687%,-79%,-78%,-95%,10,High,Conversion Path Optimization,Content Depth & Intent Coverage,Add 'best training manual printing' to title and H1. Expand sections to satisfy partial-intent keyword coverage. Strengthen CTA messaging and conversion path copy.,"Mapping mix: partial=8, exact=3, optimize=11. Performance signals: L3M Conv -1100.00%; L3M Users -296.72%; YoY Conv -95%. Focus: Conversion Path Optimization.",7,7,High,Conv shock + mapping friction; >=2 major metric declines; Major decline + mapping friction
https://omnipress.com/training/print-training-manuals/,Training,print training manuals,,,0 remaining,1,1,0,1,0,0.0000,Print Training Manuals and Course Materials | Omnipress,"Omnipress prints training manuals and course materials for professional development, corporate training, and K–12 programs. Learn more about our services.",Print Training Manuals and Course Materials,None,24%,3%,-29%,-41.38%,-200.00%,24%,-16%,-67%,-67%,-91%,10,High,Conversion Path Optimization,,Reinforce 'print training manuals' prominence in title/H1. Strengthen CTA messaging and conversion path copy.,"Mapping mix: partial=0, exact=1, optimize=1. Performance signals: L3M Conv -200.00%; YoY Conv -91%; YoY Engaged -67%. Focus: Conversion Path Optimization.",6,7,High,>=2 major metric declines
https://omnipress.com/careers/omnipress-application-form/,Careers,application for employment,application form,careers omnipress application form,0 remaining,3,3,0,3,0,0.0000,Application For Employment - Omnipress,,Application For Employment,Missing Meta Description,-67%,-21%,-50%,0.00%,N/A,-67%,37%,-21%,-43%,N/A,8,High,Snippet/CTR Refinement,,Reinforce 'application for employment' prominence in title/H1. Test CTR-focused title/meta variants aligned to intent.,"Mapping mix: partial=0, exact=3, optimize=3. Performance signals: L3M Clicks -67%; YoY Clicks -67%; L3M Engaged -50%. Focus: Snippet/CTR Refinement.",6,6,High,>=2 major metric declines
https://omnipress.com/training/print-k-12-course-materials/,Training,print homeschool curriculum,print manual,cheapest way to print a manual,1 remaining: print a manual,4,0,4,4,0,1.0000,Print K-12 Course Materials | Omnipress,"Looking to print K-12 course materials? Omnipress provides K-12 printing services for textbooks and workbooks, with kitting and shipping to schools or students.",Print K-12 Course Materials,Primary Keyword Missing in Title; Primary Keyword Missing in H1,9%,9%,-68%,-163.93%,-133.33%,9%,1053%,-98%,-97%,-67%,10,High,Conversion Path Optimization,Content Depth & Intent Coverage,Add 'print homeschool curriculum' to title and H1. Expand sections to satisfy partial-intent keyword coverage. Strengthen CTA messaging and conversion path copy.,"Mapping mix: partial=4, exact=0, optimize=4. Performance signals: L3M Users -163.93%; L3M Conv -133.33%; YoY Engaged -98%. Focus: Conversion Path Optimization.",6,6,High,Conv shock + mapping friction; >=2 major metric declines; Major decline + mapping friction
https://omnipress.com/training/training-class-participant-kits/,Training,custom printed training materials,,,0 remaining,1,0,1,1,0,1.0000,Training Class Participant Kits - Omnipress,"We can pair your printed training manual with premium items, assembled and shipped as a branded kit to in-person and virtual class participants.",Training Class Participant Kits,Primary Keyword Missing in Title; Primary Keyword Missing in H1,-50%,-16%,-17%,-10.00%,N/A,-50%,-28%,-69%,-68%,N/A,8,High,Demand Recovery,Content Depth & Intent Coverage,Add 'custom printed training materials' to title and H1. Expand sections to satisfy partial-intent keyword coverage. Refresh topical depth and internal links to recover demand.,"Mapping mix: partial=1, exact=0, optimize=1. Performance signals: YoY Engaged -69%; YoY Users -68%; L3M Clicks -50%. Focus: Demand Recovery.",5,8,High,>=2 major metric declines; Major decline + mapping friction
https://omnipress.com/publications/,Publications,printed publications,member publications printing & digital services,publications printing,0 remaining,3,2,1,2,1,0.3333,Member Publications Printing & Digital Services | Omnipress,"Print, warehouse, ship, and digitize member publications including academic journals, research, and industry standards. Explore publication services from Omnipress.",Member Publications,Primary Keyword Missing in Title; Primary Keyword Missing in H1,-67%,-44%,-6%,2.86%,N/A,-67%,-17%,-53%,-51%,N/A,8,High,Demand Recovery,Title/H1 Keyword Alignment,Add 'printed publications' to title and H1. Refresh topical depth and internal links to recover demand.,"Mapping mix: partial=1, exact=2, optimize=2. Performance signals: L3M Clicks -67%; YoY Clicks -67%; YoY Engaged -53%. Focus: Demand Recovery.",5,6,High,>=2 major metric declines
https://omnipress.com/careers/,Careers,Careers omnipress,careers,,0 remaining,2,1,1,2,0,0.5000,Careers At Omnipress - Omnipress,"Join the Omnipress team! We are a group of service-minded professionals working to help associations to deliver education through technology and print solutions for conference content, training materials and association publications.",Careers At Omnipress,Primary Keyword Missing in Title; Primary Keyword Missing in H1,-47%,-26%,#N/A,#N/A,#N/A,-47%,-41%,#N/A,#N/A,#N/A,4,Low,Demand Recovery,Title/H1 Keyword Alignment,Add 'Careers omnipress' to title and H1. Refresh topical depth and internal links to recover demand.,"Mapping mix: partial=1, exact=1, optimize=2. Performance signals: L3M Clicks -47%; YoY Clicks -47%; YoY Impr -41%. Focus: Demand Recovery.",4,4,High,>=2 major metric declines
https://omnipress.com/conferences/abstract-management/pricing/,Conferences,online abstract submission software,,,0 remaining,1,0,1,1,0,1.0000,Catalyst Cost Calculator - Omnipress,Use Omnipress’s cost calculator to explore pricing for abstract management software. See what’s included in the base package and review optional add-ons to customize your conference needs.,CATALYST® Abstract Management Software Pricing,Primary Keyword Missing in Title; Primary Keyword Missing in H1,N/A,24%,-100%,N/A,N/A,N/A,-75%,-100%,-100%,N/A,5,Medium,Content Depth & Intent Coverage,Title/H1 Keyword Alignment,Add 'online abstract submission software' to title and H1. Expand sections to satisfy partial-intent keyword coverage.,"Mapping mix: partial=1, exact=0, optimize=1. Performance signals: L3M Engaged -100%; YoY Engaged -100%; YoY Users -100%. Focus: Content Depth & Intent Coverage.",4,4,High,>=2 major metric declines; Major decline + mapping friction
