Identified Service Area,Type,Notes
85310 Glendale (Northwest Glendale),City,"Affluent area with high median income, residential and some commercial."
85382 Peoria (North Peoria),City,Well-established suburban area with good schools and residential appeal.
85302 Glendale (Central Glendale),City,"Mix of residential and commercial, with a lower median household income."
85304 Glendale (West Glendale),City,Mix of residential and commercial with moderate median income.
85351 Sun City (Retirement Community),City,Primarily a retirement community with a lower median income.
85306 Glendale (East Glendale),City,Suburban area with moderate income levels.
85308 Glendale (North Glendale),City,"Larger suburban area, higher income, good for family-oriented businesses."
85381 Peoria (South Peoria),City,"Affluent suburban area, high median income."
85053 Phoenix (North Phoenix),City,"Urban area, with moderate median household income."
85345 Glendale (South Glendale),City,Moderate-income area with residential and some commercial properties.
85373 Peoria (West Peoria),City,"Smaller suburban area, above average income."
85378 Glendale (Central Glendale),City,Urban area with moderate income levels.
85363 Waddell (Western Maricopa County),City,A rural area with a higher-than-average median income for its type.
