e ,For Pages and Posts,"For Video Content, Social, Etc.",Content Type,,,"(Steve's Note: No state homepage, 2 gray divorce)",,Idealized URL Structure,for MSV?,From WordPress - what exists now,"Future URL Should Be This Based on 
Idealized URL Structure. Fill all of this out.",for MSV? based on Target Seedword?,WP Post or Page ID,WP Post Type (Page/Post),WP Publish Status,WP Page/Post Title,WP Slug,WP PLUGIN - Custom URL,WP Permalink,WP Parent ID,WP Parent Slug,WP PLUGIN - Meta Title - like Yoast `_yoast_wpseo_title`,WP PLUGIN - Meta Description - like Yoast `_yoast_wpseo_metadesc`,WP Page/Post Excerpt,WP PLUGIN - Index/No Index Status - like Yoast  `_yoast_wpseo_meta-robots-noindex`,WP Page/Post Categories,WP Page/Post Tags,WP Page/Post Modifed Date,Prompt for Keyword Intent and AI Overview,,
Map ID,Written Content Phase,Content Marketing Phase,Content Category,Content Type,Content Role,Page Title Structure,Build Status,IdealURL,Target Seed Keyword,Existing Client Page URL,New Client Page URL,Client Target Seed Keyword,ID,Post Type,Status,Title,Slug,Custom URI,Permalink,Parent,Parent Slug,Meta Title,Meta Description,Excerpt,Index Setting,Categories,Tags,Post Modified Date,Keyword Intent,AI Overview,Monthly Search Volume (MSV)
1,Phase 02,,Core Content Pages,Home Page,Home Page,{Brand},,/,{brand},,,,,,,,,,,,,,,,,,,,Purchase,No,670
2,Phase 03,,Core Content Pages,Individual Service Pages,Divorce,Divorce in {state},,.com/{state}/divorce/,divorce in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,4210
3,Phase 03,,Core Content Pages,Individual Service Pages,Child Custody,Child Custody in {state},,.com/{state}/child-custody/,child custody in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,330
4,Phase 03,,Core Content Pages,Individual Service Pages,Child Support,Child Support in {state},,.com/{state}/child-support/,child support in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,8590
5,Phase 03,,Core Content Pages,Individual Service Pages,Alimony,Alimony in {state},,.com/{state}/alimony/,alimony in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,2540
6,Phase 03,,Core Content Pages,Individual Service Pages,Property Division,Property Division in {state},,.com/{state}/property-division/,property division in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,10
7,Phase 03,,Core Content Pages,Individual Service Pages,Paternity,Paternity in {state},,.com/{state}/paternity/,paternity in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,230
8,Phase 03,,Core Content Pages,Individual Service Pages,Guardianship,Guardianship in {state},,.com/{state}/guardianship/,guardianship in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,780
9,Phase 03,,Core Content Pages,Individual Service Pages,Adoption,Adoption in {state},,.com/{state}/adoption/,adoption in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,2410
10,Phase 03,,Core Content Pages,Individual Service Pages,Pre/Postnup ,Prenuptial & Postnuptial Agreements in {state},,.com/{state}/prenup-postnup/,prenuptial agreements {state},,,,,,,,,,,,,,,,,,,,Research,Yes,290
11,Phase 01,,Core Content Pages,Location Pages,Location Hub,{Brand} {state} Family Law Office Locations,,.com/{state}/locations/,{brand} office locations {state},,,,,,,,,,,,,,,,,,,,Purchase,No,0
12,Phase 01,,Core Content Pages,Location Pages,Individual Location Pages,{city 1} Divorce & Family Lawyers,,.com/{state}/locations/{city 1}/,{city 1} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
13,Phase 01,,Core Content Pages,Location Pages,Individual Location Pages,{city 2} Divorce & Family Lawyers,,.com/{state}/locations/{city 2}/,{city 2} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
14,Phase 01,,Core Content Pages,Location Pages,Individual Location Pages,{city 3} Divorce & Family Lawyers,,.com/{state}/locations/{city 3}/,{city 3} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
15,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Divorce Mediation,,.com/{state}/locations/{city 1}/divorce-mediation/,{city 1} divorce mediation,,,,,,,,,,,,,,,,,,,,Purchase,Yes,210
