Map ID,Content Role,Ideal URL Structure,Target Seed Keyword,Ideal Title Tag,Ideal H1 Tag
1,Home Page,/,{brand},{Brand} | {state} Divorce & Family Law Firm,{state} Divorce & Family Law Firm
2,Divorce,.com/{state}/divorce/,divorce in {state},Divorce in {state} | {Brand},{state} Divorce
3,Child Custody,.com/{state}/child-custody/,child custody in {state},Child Custody in {state} | {Brand},{state} Child Custody
4,Child Support,.com/{state}/child-support/,child support in {state},Child Support in {state} | {Brand},{state} Child Support
5,Alimony,.com/{state}/alimony/,alimony in {state},Alimony in {state} | {Brand},{state} Alimony Orders
6,Property Division,.com/{state}/property-division/,property division in {state},Property Division in {state} | {Brand},{state} Property Division
7,Paternity,.com/{state}/paternity/,paternity in {state},Paternity in {state} | {Brand},{state} Paternity
8,Guardianship,.com/{state}/guardianship/,guardianship in {state},Guardianship in {state} | {Brand},{state} Guardianship
9,Adoption,.com/{state}/adoption/,adoption in {state},Adoption in {state} | {Brand},Adoption Process in {state}
10,Pre/Postnup,.com/{state}/prenup-postnup/,prenuptial agreements {state},Prenuptial Agreements in {state} | {Brand},Prenuptial Agreements in {state}
11,Location Hub,.com/{state}/locations/,{brand} office locations {state},{state} Locations & Hours | {Brand},{state} Family Law Office Locations
12,Individual Location Pages,.com/{state}/locations/{city 1}/,{city 1} divorce lawyers,{city 1} Family Law & Divorce Lawyers | {Brand},{city 1} Family Law & Divorce Attorneys
13,Individual Location Pages,.com/{state}/locations/{city 2}/,{city 2} divorce lawyers,{city 2} Family Law & Divorce Lawyers | {Brand},{city 2} Family Law & Divorce Attorneys
14,Individual Location Pages,.com/{state}/locations/{city 3}/,{city 3} divorce lawyers,{city 3} Family Law & Divorce Lawyers | {Brand},{city 3} Family Law & Divorce Attorneys
15,Location Support Pages,.com/{state}/locations/{city 1}/divorce-mediation/,{city 1} divorce mediation,{city 1} Divorce Mediation Lawyers | {Brand},{city 1} Divorce Mediation Attorneys
16,Location Support Pages,.com/{state}/locations/{city 1}/collaborative-divorce/,{city 1} collaborative divorce lawyer,{city 1} Collaborative Divorce Lawyers | {Brand},{city 1} Collaborative Divorce Attorneys
17,Location Support Pages,.com/{state}/locations/{city 1}/uncontested-divorce/,{city 1} uncontested divorce lawyer,{city 1} Uncontested Divorce Lawyers | {Brand},{city 1} Uncontested Divorce Attorneys
18,Location Support Pages,.com/{state}/locations/{city 1}/contested-divorce/,{city 1} contested divorce lawyer,{city 1} Contested Divorce Lawyers | {Brand},{city 1} Contested Divorce Attorneys
19,Location Support Pages,.com/{state}/locations/{city 1}/child-custody/,{city 1} child custody lawyer,{city 1} Child Custody Lawyers | {Brand},{city 1} Child Custody Attorneys
20,Location Support Pages,.com/{state}/locations/{city 1}/child-support/,{city 1} child support lawyer,{city 1} Child Support Lawyers | {Brand},{city 1} Child Support Attorneys
21,Location Support Pages,.com/{state}/locations/{city 1}/alimony/,{city 1} alimony lawyer,{city 1} Spousal Support Lawyers | {Brand},{city 1} Spousal Support Attorneys
22,Location Support Pages,.com/{state}/locations/{city 1}/property-division/,{city 1} property division lawyer,{city 1} Property Division Lawyers | {Brand},{city 1} Property Division Attorneys
23,Location Support Pages,.com/{state}/locations/{city 1}/paternity/,{city 1} paternity lawyer,{city 1} Paternity Lawyers | {Brand},{city 1} Paternity Attorneys
24,Location Support Pages,.com/{state}/locations/{city 1}/military-divorce/,{city 1} military divorce lawyer,{city 1} Military Divorce Lawyers | {Brand},{city 1} Military Divorce Attorneys
25,Location Support Pages,.com/{state}/locations/{city 2}/divorce-mediation/,{city 2} divorce mediation,{city 2} Divorce Mediation Lawyers | {Brand},{city 2} Divorce Mediation Attorneys
26,Location Support Pages,.com/{state}/locations/{city 2}/collaborative-divorce/,{city 2} collaborative divorce lawyer,{city 2} Collaborative Divorce Lawyers | {Brand},{city 2} Collaborative Divorce Attorneys
27,Location Support Pages,.com/{state}/locations/{city 2}/uncontested-divorce/,{city 2} uncontested divorce lawyer,{city 2} Uncontested Divorce Lawyers | {Brand},{city 2} Uncontested Divorce Attorneys
28,Location Support Pages,.com/{state}/locations/{city 2}/contested-divorce/,{city 2} contested divorce lawyer,{city 2} Contested Divorce Lawyers | {Brand},{city 2} Contested Divorce Attorneys
29,Location Support Pages,.com/{state}/locations/{city 2}/child-custody/,{city 2} child custody lawyer,{city 2} Child Custody Lawyers | {Brand},{city 2} Child Custody Attorneys
30,Location Support Pages,.com/{state}/locations/{city 2}/child-support/,{city 2} child support lawyer,{city 2} Child Support Lawyers | {Brand},{city 2} Child Support Attorneys
31,Location Support Pages,.com/{state}/locations/{city 2}/alimony/,{city 2} alimony lawyer,{city 2} Spousal Support Lawyers | {Brand},{city 2} Spousal Support Attorneys
32,Location Support Pages,.com/{state}/locations/{city 2}/property-division/,{city 2} property division lawyer,{city 2} Property Division Lawyers | {Brand},{city 2} Property Division Attorneys
33,Location Support Pages,.com/{state}/locations/{city 2}/paternity/,{city 2} paternity lawyer,{city 2} Paternity Lawyers | {Brand},{city 2} Paternity Attorneys
34,Location Support Pages,.com/{state}/locations/{city 2}/military-divorce/,{city 2} military divorce lawyer,{city 2} Military Divorce Lawyers | {Brand},{city 2} Military Divorce Attorneys
35,Location Support Pages,.com/{state}/locations/{city 3}/divorce-mediation/,{city 3} divorce mediation,{city 3} Divorce Mediation Lawyers | {Brand},{city 3} Divorce Mediation Attorneys
36,Location Support Pages,.com/{state}/locations/{city 3}/collaborative-divorce/,{city 3} collaborative divorce lawyer,{city 3} Collaborative Divorce Lawyers | {Brand},{city 3} Collaborative Divorce Attorneys
37,Location Support Pages,.com/{state}/locations/{city 3}/uncontested-divorce/,{city 3} uncontested divorce lawyer,{city 3} Uncontested Divorce Lawyers | {Brand},{city 3} Uncontested Divorce Attorneys
38,Location Support Pages,.com/{state}/locations/{city 3}/contested-divorce/,{city 3} contested divorce lawyer,{city 3} Contested Divorce Lawyers | {Brand},{city 3} Contested Divorce Attorneys
39,Location Support Pages,.com/{state}/locations/{city 3}/child-custody/,{city 3} child custody lawyer,{city 3} Child Custody Lawyers | {Brand},{city 3} Child Custody Attorneys
40,Location Support Pages,.com/{state}/locations/{city 3}/child-support/,{city 3} child support lawyer,{city 3} Child Support Lawyers | {Brand},{city 3} Child Support Attorneys
41,Location Support Pages,.com/{state}/locations/{city 3}/alimony/,{city 3} alimony lawyer,{city 3} Spousal Support Lawyers | {Brand},{city 3} Spousal Support Attorneys
