Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Next Step,Gap Status,Notes,Keyword Intent,AI Overview,MSV,Current Meta Title,Title Length,NEW Meta Title,Title Status,Current Meta Description,Desc Length,NEW Meta Description,Desc Status,Current H1,NEW H1,H1 Status,First 100 Words,Keyword in First 100,Body Optimization Rec,CTA Above Fold
1,Phase 02,Core Content Pages,Home Page,Home Page,{Brand},/,TDE Law,https://tdefamilylaw.com/,"Fundamentals, Content Optimizations",MAPPED,Homepage exists,,,,Atlanta Divorce Attorneys | TDE Family Law & Divorce Attorneys,62,Georgia Family Law Attorneys | TDE Family Law,Needs Update,"Experienced family law attorneys for divorce, custody cases and more. Tessie Edwards Law Firm has been trusted in Atlanta for over 15 years.",140,"TDE Family Law has helped Georgia families with divorce, custody & support for 15+ years. Experienced attorneys who fight for you. Call (404) 330-8833 for a $25",Needs Update,Atlanta Family Law and Divorce Attorneys,Georgia Family Law & Divorce Attorneys,Needs Update,"Atlanta Family Law and Divorce Attorneys Dynamic and Experienced Attorneys in Family and Divorce Legal Services TDE Family Law & Divorce Attorneys is an experienced family law firm that has been serving the Atlanta, GA community for over 15 years. Our attorneys provide enthusiastic representation and bring along extensive experience in representing our clients. We strive to provide personalized, affordable legal services with special discounts for military personnel and first responders. $25 Consultation Fee All consultation fees are applied to the initial retainer if retained within 7 days of consultation. Schedule a Consultation Call Us: (404) 330-8833 Georgia Divorce &",✅ Yes,Good - keyword present in opening,❌ No
2,Phase 03,Core Content Pages,Individual Service Pages,Divorce,Divorce in Georgia,.com/georgia/divorce/,divorce in Georgia,https://tdefamilylaw.com/family-law/divorce/,"Fundamentals, Content Optimizations",MAPPED,URL structure differs from ideal - currently under /family-law/,Research,Yes,2900.0,Divorce in Atlanta - TDE Family Law,35,Divorce Lawyers in Georgia | TDE Family Law,Needs Update,Navigating divorce in Atlanta made easier with accurate legal assistance. Contact TDE Family Law & Divorce Attorneys for outstanding client services throughout the process.,172,Navigating divorce in Georgia? Our experienced divorce attorneys guide you through every step. Protect your assets & rights. Call (404) 330-8833 for a $25 consu,Needs Update,Divorce in Atlanta,Divorce Lawyers in Georgia,Needs Update,"Divorce in Atlanta Divorce is a difficult decision to make, but there are many reasons to file for one. If you are considering divorce or you’re ready to file, call our team to provide you with accurate legal assistance. We assure you of outstanding client services throughout the process. TDE Family Law & Divorce Attorneys, a family law firm in Atlanta, GA, has seen firsthand the varied challenges and considerations faced by those navigating divorce. This article explores how divorce affects individuals at different life stages, highlighting the unique experiences and hurdles encountered during young adulthood, midlife, and later life.",❌ No,Add 'divorce in Georgia' to the first 100 words,❌ No
3,Phase 03,Core Content Pages,Individual Service Pages,Child Custody,Child Custody in Georgia,.com/georgia/child-custody/,child custody in Georgia,https://tdefamilylaw.com/family-law/child-custody-lawyer/,"Fundamentals, Content Optimizations",MAPPED,URL structure differs from ideal,Research,Yes,50.0,Child Custody Lawyer - TDE Family Law,37,Child Custody Lawyers in Georgia | TDE Family Law,Needs Update,Protect your parental rights with the help of our experienced child custody lawyer in Atlanta. We understand the system and will fight for the best interests of your child.,172,Fight for your parental rights with our child custody lawyers in Georgia. We protect your children's best interests. Call (404) 330-8833 for a $25 consultation.,Needs Update,Child Custody Lawyer in Atlanta,Child Custody Lawyers in Georgia,Needs Update,"Child Custody Lawyer in Atlanta Custody decisions in Georgia are based on the best interests of the child. You know what is in your child’s best interests better than anyone, but it is important for the court to understand your viewpoint in order to get the right outcome for your family. That’s where a dedicated child custody lawyer in Atlanta comes in to play. At TDE Family Law & Divorce Attorneys, we understand how to support your position and will fight aggressively to protect your rights and help you reach your goals for child custody. Two Types of Child Custody",✅ Yes,Good - keyword present in opening,✅ Yes
5,Phase 03,Core Content Pages,Individual Service Pages,Alimony,Alimony in Georgia,.com/georgia/alimony/,alimony in Georgia,https://tdefamilylaw.com/family-law/alimony-spousal-support/,"Fundamentals, Content Optimizations",MAPPED,Combined with spousal support,Research,Yes,390.0,Alimony/Spousal Support Lawyer - TDE Family Law,47,Alimony & Spousal Support Lawyers | TDE Family Law,Needs Update,Navigating alimony issues in a divorce? Our experienced lawyers can guide you through the process and help protect your financial interests.,140,Need help with alimony in Georgia? Our spousal support attorneys protect your financial interests in divorce. Call (404) 330-8833 for a $25 consultation.,Needs Update,Alimony & Spousal Support Lawyer in Atlanta,Alimony & Spousal Support Lawyers in Georgia,Needs Update,"Alimony & Spousal Support Lawyer in Atlanta Alimony, also known as spousal support, is often one of the most contentious issues in a divorce. Courts can order one spouse to make payments to the other temporarily while the divorce proceedings are in progress, or they may require payments to continue on long after the divorce is finalized. Whether you are the one seeking alimony or you want to limit your liability for alimony payments, it is crucial to understand your rights and the factors that go into alimony decisions. When you work with an experienced alimony lawyer at TDE Family",❌ No,Add 'alimony in Georgia' to the first 100 words,✅ Yes
6,Phase 03,Core Content Pages,Individual Service Pages,Property Division,Property Division in Georgia,.com/georgia/property-division/,property division in Georgia,https://tdefamilylaw.com/family-law/property-division-enforcement/,"Fundamentals, Content Optimizations",PARTIAL,Only enforcement page exists - need main property division page,Research,Yes,,Property Division Enforcement - TDE Family Law,46,Property Division Lawyers in Georgia | TDE Family Law,Needs Update,Navigate the complexities of property division enforcement in divorce. Get valuable insights from our family law attorneys on ensuring a fair division of marital property.,171,Facing property division in Georgia divorce? Our attorneys ensure fair distribution of marital assets. Call (404) 330-8833 for a $25 consultation.,Needs Update,Property Division Enforcement,Property Division Lawyers in Georgia,Needs Update,"Property Division Enforcement What is Property Division Enforcement? When couples decide to part ways through divorce, one of the most complex and emotionally charged issues is the division of property. In Georgia, like in many other states, the division of marital property is subject to legal scrutiny to ensure fairness. However, even after a divorce is finalized and a property division order is issued, disputes can still arise. The attorneys at TDE Family Law & Divorce Attorneys, specialize in enforcing property division. This page explores the intricacies of property division enforcement, offering valuable insights for those navigating this challenging aspect",✅ Yes,Good - keyword present in opening,✅ Yes
7,Phase 03,Core Content Pages,Individual Service Pages,Paternity,Paternity in Georgia,.com/georgia/paternity/,paternity in Georgia,https://tdefamilylaw.com/family-law/paternity-lawyer-in-atlanta/,"Fundamentals, Content Optimizations",MAPPED,Location-specific (Atlanta) vs state-level,Research,Yes,,Paternity Testing - TDE Family Law,34,Paternity Lawyers in Georgia | TDE Family Law,Needs Update,"Learn about the importance of establishing paternity and how it affects child support, inheritance rights, and family medical histories.",136,Establish paternity in Georgia with our experienced family lawyers. Protect your parental rights and your child's future. Call (404) 330-8833 for a $25 consulta,Needs Update,Paternity Lawyer in Atlanta,Paternity Lawyers in Georgia,Needs Update,"Paternity Lawyer in Atlanta Under Georgia law, fathers have legal rights and responsibilities with respect to their children. However, in many cases, legal action is necessary to take advantage of the rights and enforce the responsibilities. Paternity establishes a biological connection between a father and child. While paternity may be assumed in some situations, in others, parents need to work with a family law attorney to establish paternity in Atlanta. Why it Is Important to Establish Paternity Paternity law plays an essential role in determining the biological and legal father of a child. Establishing paternity is crucial for a myriad",✅ Yes,Good - keyword present in opening,✅ Yes
10,Phase 03,Core Content Pages,Individual Service Pages,Pre/Postnup,Prenuptial & Postnuptial Agreements in Georgia,.com/georgia/prenup-postnup/,prenuptial agreements Georgia,https://tdefamilylaw.com/family-law/prenuptial-agreement-atlanta/,"Fundamentals, Content Optimizations",PARTIAL,Only prenup page exists - need combined prenup/postnup hub,Research,Yes,0.0,Prenuptial Agreement Atlanta: Your Shield of Financial Protection,65,Prenuptial & Postnuptial Agreement Lawyers | TDE Family Law,Needs Update,,0,Protect your assets with a prenuptial agreement in Georgia. Our attorneys draft enforceable agreements. Call (404) 330-8833 for a $25 consultation.,Needs Update,Prenuptial Agreement Atlanta: Your Shield of Financial Protection,Prenuptial Agreement Lawyers in Georgia,Needs Update,"Prenuptial Agreement Atlanta: Your Shield of Financial Protection Looking to protect your assets before marriage in Atlanta? You need a strong prenuptial agreement against Georgia law and the court system. At TDE Family Law & Divorce Attorneys, we deliver straightforward legal protection to provide clarity about your financial future in Atlanta and surrounding counties. Our prenuptial agreement attorneys handle everything from standard agreements to complex asset situations to create legally sound agreements that protect what you’ve worked hard to build. Prenuptial Agreement A prenuptial agreement clearly defines financial expectations before marriage and establishes protection if divorce occurs. At TDE Family",✅ Yes,Good - keyword present in opening,✅ Yes
13,Phase 01,Core Content Pages,Location Pages,Individual Location Pages,Gwinnett Divorce & Family Lawyers,.com/georgia/locations/gwinnett/,Gwinnett divorce lawyers,https://tdefamilylaw.com/gwinnett-divorce-attorney/,Remove,MAPPED,Gwinnett location page exists,,,0.0,Gwinnett Divorce Attorney Services: From Filing to Final Decree | Tessie D. Edwards,83,Gwinnett Divorce Lawyers | TDE Family Law,Needs Update,"Facing divorce in Gwinnett County? Get clear guidance on your options, timelines, and next steps. Talk with a trusted Georgia divorce attorney today!",149,"Gwinnett County divorce attorneys serving families across metro Atlanta. Local expertise, proven results. Call (404) 330-8833 for a $25 consultation.",Needs Update,Gwinnett Divorce Attorneys: From Filing to Final Decree,Gwinnett Divorce & Family Lawyers,Needs Update,"How to Get a Prenup in Georgia That Protects Your Rights Protecting your assets before marriage is a sign of wise planning, not an act of distrust. A prenuptial agreement... read more",❌ No,Add 'Gwinnett divorce lawyers' to the first 100 words,✅ Yes
14,Phase 02,Core Content Pages,Attorney Pages,Attorney Hub,Georgia Attorneys,.com/georgia/attorneys/,Georgia attorneys,https://tdefamilylaw.com/atlanta-attorneys/,"Fundamentals, Content Optimizations",MAPPED,Attorney hub exists,Purchase,No,320.0,Atlanta Attorneys | TDE Family Law & Divorce Attorneys – Family Law Experts,75,Meet Our Atlanta Family Lawyers | TDE Family Law,Needs Update,Meet our team of experienced Atlanta attorneys committed to compassionate family law representation. Serving families across metro Atlanta.,139,"Meet our experienced Atlanta family law attorneys. Compassionate advocates for divorce, custody & support cases. Call (404) 330-8833 for a $25 consultation.",Needs Update,Experienced Atlanta Family Law Attorneys You Can Trust,Meet Our Georgia Family Law Attorneys,Needs Update,"Experienced Atlanta Family Law Attorneys You Can Trust At TDE Family Law & Divorce Attorneys, we bring together a team of seasoned family law attorneys serving the greater Atlanta area with compassion, clarity, and commitment. Our legal team is deeply rooted in the community and dedicated to helping families navigate divorce, custody, legitimation, and other complex family matters with dignity and strength. Get to know the attorneys who are here to guide you every step of the way. Team Members Lolita K. Beyah Senior Mentoring Attorney Learn More John Evans Senior Attorney Learn More Barry Eidex Senior Attorney Learn More",❌ No,Add 'Georgia attorneys' to the first 100 words,❌ No
15,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Tessie D. Edwards,.com/georgia/attorneys/tessie-edwards/,attorney Tessie D. Edwards,https://tdefamilylaw.com/tessie-d-edwards/,"Fundamentals, Content Optimizations",MAPPED,"Founder bio exists, not linked anywhere",,,,Tessie D. Edwards - TDE Family Law,34,Tessie D. Edwards - TDE Family Law,Needs Update,Get to know Tessie D. Edwards and her commitment to finding the right solutions for families in crisis. Learn about her years of experience and dedication to achieving clients' objectives.,188,Get to know Tessie D. Edwards and her commitment to finding the right solutions for families in crisis. Learn about her years of experience and dedication to achieving clients' objectives.,Needs Update,About Tessie D. Edwards,About Tessie D. Edwards,Needs Update,"About Tessie D. Edwards Education:  Indiana University School of Law, Indianapolis  Indiana University-Purdue University, Indianapolis Your family comes first. Always. Tessie D. Edwards fights to find the right solutions for families in crisis. With her years of experience as a prosecutor, attorneys respect Tessie as an aggressive advocate who knows how to achieve clients’ objectives. Clients see her compassionate side, where she and her team take the time to listen to gain a full understanding of the situation. With a passion for justice, Tessie started her career in criminal law, serving as an Assistant Solicitor General in Clayton",✅ Yes,Good - keyword present in opening,✅ Yes
