Content Category,Content Type,Content Role,Ideal Keyword Structure,Build Status,IdealURL,Target Seed Keyword
Core Content Pages,Home Page,Home Page,{Brand},,/,{brand}
Core Content Pages,Individual Service Pages,Divorce,Divorce in {state},,.com/{state}/divorce/,divorce in {state}
Core Content Pages,Individual Service Pages,Child Custody,Child Custody in {state},,.com/{state}/child-custody/,child custody in {state}
Core Content Pages,Individual Service Pages,Child Support,Child Support in {state},,.com/{state}/child-support/,child support in {state}
Core Content Pages,Individual Service Pages,Alimony,Alimony in {state},,.com/{state}/alimony/,alimony in {state}
Core Content Pages,Individual Service Pages,Property Division,Property Division in {state},,.com/{state}/property-division/,property division in {state}
Core Content Pages,Individual Service Pages,Paternity,Paternity in {state},,.com/{state}/paternity/,paternity in {state}
Core Content Pages,Individual Service Pages,Guardianship,Guardianship in {state},,.com/{state}/guardianship/,guardianship in {state}
Core Content Pages,Individual Service Pages,Adoption,Adoption in {state},,.com/{state}/adoption/,adoption in {state}
Core Content Pages,Individual Service Pages,Pre/Postnup ,Prenuptial & Postnuptial Agreements in {state},,.com/{state}/prenup-postnup/,prenuptial agreements {state}
Core Content Pages,Location Pages,Location Hub,{Brand} {state} Family Law Office Locations,,.com/{state}/locations/,{brand} office locations {state}
Core Content Pages,Location Pages,Individual Location Pages,{city 1} Divorce & Family Lawyers,,.com/{state}/locations/{city 1}/,{city 1} divorce lawyers
Core Content Pages,Location Pages,Individual Location Pages,{city 2} Divorce & Family Lawyers,,.com/{state}/locations/{city 2}/,{city 2} divorce lawyers
Core Content Pages,Location Pages,Individual Location Pages,{city 3} Divorce & Family Lawyers,,.com/{state}/locations/{city 3}/,{city 3} divorce lawyers
Core Content Pages,Location Pages,Location Support Pages,{city 1} Divorce Mediation,,.com/{state}/locations/{city 1}/divorce-mediation/,{city 1} divorce mediation
Core Content Pages,Location Pages,Location Support Pages,{city 1} Collaborative Divorce Lawyer,,.com/{state}/locations/{city 1}/collaborative-divorce/,{city 1} collaborative divorce lawyer
