Source URL,Suggested Target URL,Core Page Name,GA4 Views,GA4 Engaged sessions,GSC Impressions,GSC Clicks,GSC Position,Included Because,Suggested Anchor Text,Anchor Category,Anchor Rationale,Priority,Reason
https://www.sterlinglawyers.com/wisconsin/blog/winning-strategies-beaver-dam-spousal-support-lawyers/,https://www.sterlinglawyers.com/wisconsin/spousal-support/,Alimony / Spousal Support,71,16,41,1,46.56,GA4,how maintenance is determined in Wisconsin,Secondary / Partial,Partial-match/process anchor for maintenance/spousal support that reads naturally in-body.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/child-custody/parenting-plan/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,8636,3984,68424,850,31.74,GA4;GSC;Extra,child custody and placement decisions,Secondary / Partial,Wisconsin-specific partial-match anchor (placement/legal custody) to keep language accurate and natural in-body.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/milwaukee-child-custody-tips-strategies-parents/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,45,21,4710,11,25.65,GSC,what custody arrangements can look like,Informational,Informational anchor aligned to custody/placement topics; works well in narrative paragraphs.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/child-custody-waukesha-family-lawyer/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,23,10,2027,10,22.92,GSC,visitation and placement issues,Secondary / Partial,Wisconsin-specific partial-match anchor (placement/legal custody) to keep language accurate and natural in-body.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/jefferson-child-custody-lawyer-transform-case/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,6,3,1655,1,68.81,GSC,tips for a parenting plan,Informational,Informational anchor aligned to custody/placement topics; works well in narrative paragraphs.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/west-bend-child-custody-lawyers-supporting-parents-through-difficult-cases/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,10,5,1117,3,37.91,GSC,legal custody and physical placement in Wisconsin,Secondary / Partial,Wisconsin-specific partial-match anchor (placement/legal custody) to keep language accurate and natural in-body.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/insight-legal-journey-racine-child-custody-lawyers/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,48,14,829,9,39.49,GSC,custody and placement,Variant,Shorter variant phrasing to diversify anchor text while remaining custody-intent.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/balancing-child-custody-rights-delicately-in-dane-county/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,91,9,756,1,32.75,GA4,parenting plan help,Variant,Shorter variant phrasing to diversify anchor text while remaining custody-intent.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/the-working-dads-guide-to-child-custody-in-oshkosh/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,217,89,0,0,0.0,GA4,Wisconsin child custody,Primary / High intent,High-intent custody service anchor to reinforce the Wisconsin child custody core page.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/investing-peace-of-mind-trusted-child-custody-attorneys/,https://www.sterlinglawyers.com/wisconsin/child-custody/,Child Custody,75,15,0,0,0.0,GA4,sole custody considerations in Wisconsin,Secondary / Partial,Wisconsin-specific partial-match anchor (placement/legal custody) to keep language accurate and natural in-body.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/illuminating-the-path-of-child-support-in-brown-county/,https://www.sterlinglawyers.com/wisconsin/child-support/,Child Support,25,12,9528,8,10.5,GSC,help with child support in Wisconsin,Primary / High intent,High-intent child support service anchor to reinforce the Wisconsin child support core page.,High,Add 1 intentional in-body link (missing-only policy)
https://www.sterlinglawyers.com/wisconsin/blog/fighting-for-fair-assistance-with-milwaukee-child-support-lawyers/,https://www.sterlinglawyers.com/wisconsin/child-support/,Child Support,4,2,1461,2,37.07,GSC,child support agreement,Variant,Short variant anchor to diversify phrasing; surrounding text provides Wisconsin context.,High,Add 1 intentional in-body link (missing-only policy)
