Type,Current URL,Topic Cluster,Existing Intent,Suggested Primary Keyword,Search Volume,Source Tier,Score,Suggested Action,Notes,Why This Keyword
Page,https://omnipress.com/conferences/virtual-conference-event-platform/request-for-demo/,Conferences,Transactional,virtual conference software,590,Expansion,0.312,Optimize,"Use 'virtual conference software' in Meta Title and H1, add a conversion-focused section, and align CTA copy to this term.",slug=0.25; h1=0.00; title=0.25
Page,https://omnipress.com/publications/digital-publications/request-for-demo/,Publications,Transactional,digital flipbook,480,Expansion,0.273,Optimize,"Use 'digital flipbook' in Meta Title and H1, add a conversion-focused section, and align CTA copy to this term.",slug=0.20; h1=0.00; title=0.17
Page,https://omnipress.com/training/fulfillment/,Training,Commercial,printing and fulfillment services,170,Expansion,0.282,Optimize,"Use 'printing and fulfillment services' in Meta Title and H1, add comparison/benefit content, and strengthen internal links to this URL.",slug=0.25; h1=0.50; title=0.29; intent=Navigational
Page,https://omnipress.com/training/training-class-participant-kits/,Training,Commercial,custom printed training materials,70,SEMrush;GSC Query,0.539,Optimize,"Use 'custom printed training materials' in Meta Title and H1, add comparison/benefit content, and strengthen internal links to this URL.",slug=0.14; h1=0.14; title=0.12; intent=Commercial
Page,https://omnipress.com/training/training-class-participant-kits/request-for-quote/,Training,Transactional,custom printed training materials,70,Expansion,0.220,Optimize,"Use 'custom printed training materials' in Meta Title and H1, add a conversion-focused section, and align CTA copy to this term.",slug=0.11; h1=0.00; title=0.10
Blog,https://omnipress.com/blog/why-charge-for-abstract-submissions-a-new-planners-guide/,BLOG-Abstract Management Education,Informational,what is abstract fee,40,SEMrush,0.420,Optimize,"Use 'what is abstract fee' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.10; h1=0.11; title=0.10; intent=Informational
Blog,https://omnipress.com/blog/5-things-associations-should-know-about-gen-z/,BLOG-Association Learning & Professional Development,Informational,adult learning strategies,170,Expansion,0.150,Optimize,"Use 'adult learning strategies' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.00; h1=0.00; title=0.00
Blog,https://omnipress.com/blog/are-your-educational-programs-ready-for-gen-z/,BLOG-Association Learning & Professional Development,Informational,adult learning strategies,170,Expansion,0.150,Optimize,"Use 'adult learning strategies' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.00; h1=0.00; title=0.00
Blog,https://omnipress.com/blog/how-associations-can-better-compete-in-a-growing-training-market/,BLOG-Association Learning & Professional Development,Informational,adult learning strategies,170,Expansion,0.150,Optimize,"Use 'adult learning strategies' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.00; h1=0.00; title=0.00
Blog,https://omnipress.com/blog/qr-codes-deliver-just-in-time-training-learning/,BLOG-Association Learning & Professional Development,Informational,association learning,140,Expansion,0.200,Optimize,"Use 'association learning' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.11; h1=0.00; title=0.00
Blog,https://omnipress.com/blog/using-youtube-instagram-and-tiktok-to-attract-gen-z-to-your-association/,BLOG-Association Learning & Professional Development,Commercial,youtubeinstagram,70,SEMrush,0.350,Optimize,"Use 'youtubeinstagram' in Meta Title and H1, add comparison/benefit content, and strengthen internal links to this URL.",slug=0.00; h1=0.00; title=0.00; intent=Commercial
Blog,https://omnipress.com/blog/4-takeaways-from-the-omnipress-2023-conference-industry-report/,BLOG-Conference/Event Strategy,Informational,book conference,110,Expansion,0.243,Optimize,"Use 'book conference' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.12; h1=0.14; title=0.14
Blog,https://omnipress.com/blog/10-tips-for-writing-instructions-for-your-call-for-papers/,BLOG-General Blog,Commercial,call to submit,140,SEMrush,0.431,Optimize,"Use 'call to submit' in Meta Title and H1, add comparison/benefit content, and strengthen internal links to this URL.",slug=0.12; h1=0.12; title=0.12; intent=Commercial
Blog,https://omnipress.com/blog/3-reasons-to-use-qr-codes-in-your-training-course/,BLOG-General Blog,Informational,training update,50,Expansion,0.239,Optimize,"Use 'training update' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.12; h1=0.14; title=0.12
Blog,https://omnipress.com/blog/designing-for-neurodiversity-how-to-make-your-in-person-education-events-neuro-inclusive/,"BLOG-Print, Binding & Production Education",Commercial,top programs that balance neurotypical expectations with neurodivergent needs,110,SEMrush;GSC Query,0.450,Optimize,"Use 'top programs that balance neurotypical expectations with neurodivergent needs' in Meta Title and H1, add comparison/benefit content, and strengthen internal links to this URL.",slug=0.00; h1=0.00; title=0.00; intent=Commercial
Blog,https://omnipress.com/blog/how-to-build-contingency-planning-into-your-call-for-papers/,"BLOG-Print, Binding & Production Education",Informational,call to submit,140,Expansion,0.239,Optimize,"Use 'call to submit' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.12; h1=0.14; title=0.12
Blog,https://omnipress.com/blog/top-print-project-mistakes-that-slow-things-down/,"BLOG-Print, Binding & Production Education",Informational,print training manuals,30,Expansion,0.217,Optimize,"Use 'print training manuals' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.10; h1=0.09; title=0.11
Blog,https://omnipress.com/blog/simple-seo-tips-to-grow-your-conferences-and-courses/,BLOG-SEO & Content Strategy for Associations,Informational,gated content,590,Expansion,0.150,Optimize,"Use 'gated content' in title/H1, add a clear answer section near the top, and expand supporting FAQs/examples.",slug=0.00; h1=0.00; title=0.00
