Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Gap Status,Notes
HUB-ATT,Foundation,Attorney Hub,Hub page,E-E-A-T / Attorney bio hub,Family Law Attorneys | Cutrer Law Group,/attorneys/,family law attorneys,https://akcfamilylaw.com/anita-cutrer/,PARTIAL (incomplete match),Attorney bios exist but no consolidated attorney hub/index page.
HUB-LOC,Decision,General,Location Hub (Pages if not multi or Hub not present),Hub,Hurst TX Family Law Attorney | Cutrer Law Group,/hurst-tx-family-law-attorney/,hurst tx family law attorney,,GAP,No dedicated Hurst location hub detected.
1,Consideration,Divorce,Core Practice Area Page,Hub,Hurst TX Divorce Lawyer | Cutrer Law Group,/divorce/,hurst tx divorce lawyer,https://akcfamilylaw.com/divorce/,MAPPED (full match),Exact URL match. Title/H1 targets Bedford; template targets Hurst.
2,Consideration,Child Custody,Core Practice Area Page,Hub,Hurst TX Child Custody Lawyer | Cutrer Law Group,/child-custody/,hurst tx child custody lawyer,https://akcfamilylaw.com/child-custody/,MAPPED (full match),Exact URL match. Title/H1 targets Bedford; template targets Hurst.
3,Consideration,Child Support,Core Practice Area Page,Hub,Hurst TX Child Support Lawyer | Cutrer Law Group,/child-support/,hurst tx child support lawyer,https://akcfamilylaw.com/child-support/,MAPPED (full match),Exact URL match. Title/H1 targets Bedford; template targets Hurst.
4,Consideration,Spousal Support / Alimony,Core Practice Area Page,Hub,Hurst TX Spousal Support / Alimony Lawyer | Cutrer Law Group,/spousal-support-alimony/,hurst tx spousal support / alimony lawyer,https://akcfamilylaw.com/spousal-support/,PARTIAL (incomplete match),Topic token match in URL/H1. Title/H1 targets Bedford; template targets Hurst.
5,Consideration,Property Division,Core Practice Area Page,Hub,Hurst TX Property Division Lawyer | Cutrer Law Group,/property-division/,hurst tx property division lawyer,https://akcfamilylaw.com/property-division/,MAPPED (full match),Exact URL match. Title/H1 targets Bedford; template targets Hurst.
6,Consideration,Paternity,Core Practice Area Page,Hub,Hurst TX Paternity Lawyer | Cutrer Law Group,/paternity/,hurst tx paternity lawyer,,GAP,No topical signal in service pages.
7,Consideration,Guardianship,Core Practice Area Page,Hub,Hurst TX Guardianship Lawyer | Cutrer Law Group,/guardianship/,hurst tx guardianship lawyer,https://akcfamilylaw.com/guardianship/,MAPPED (full match),Exact URL match. Title/H1 targets Bedford; template targets Hurst.
8,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Contested Divorce Lawyer | Cutrer Law Group,/contested-divorce/,hurst tx contested divorce lawyer,,GAP,Closest match already used; no unique precise match.
9,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Uncontested Divorce Lawyer | Cutrer Law Group,/uncontested-divorce/,hurst tx uncontested divorce lawyer,,GAP,Closest match already used; no unique precise match.
10,Awareness,Child Custody,Procedural Page,Cluster,Hurst TX Child Custody Modification Lawyer | Cutrer Law Group,/child-custody-modification/,hurst tx child custody modification lawyer,,GAP,Closest match already used; no unique precise match.
11,Awareness,Child Support,Procedural Page,Cluster,Hurst TX Child Support Modification Lawyer | Cutrer Law Group,/child-support-modification/,hurst tx child support modification lawyer,,GAP,Closest match already used; no unique precise match.
12,Awareness,Child Support,Procedural Page,Cluster,Hurst TX Child Support Enforcement Lawyer | Cutrer Law Group,/child-support-enforcement/,hurst tx child support enforcement lawyer,,GAP,Closest match already used; no unique precise match.
13,Awareness,Child Custody,Procedural Page,Cluster,Hurst TX Parenting Plans Lawyer | Cutrer Law Group,/parenting-plans/,hurst tx parenting plans lawyer,,GAP,No topical signal in service pages.
14,Awareness,Spousal Support / Alimony,Procedural Page,Cluster,Hurst TX Temporary Spousal Support Lawyer | Cutrer Law Group,/temporary-spousal-support/,hurst tx temporary spousal support lawyer,,GAP,Closest match already used; no unique precise match.
15,Awareness,Property Division,Procedural Page,Cluster,Hurst TX Equitable Distribution Lawyer | Cutrer Law Group,/equitable-distribution/,hurst tx equitable distribution lawyer,,GAP,No topical signal in service pages.
16,Awareness,Paternity,Procedural Page,Cluster,Hurst TX Establishing Paternity Lawyer | Cutrer Law Group,/establishing-paternity/,hurst tx establishing paternity lawyer,,GAP,No topical signal in service pages.
17,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Emergency Custody Orders Lawyer | Cutrer Law Group,/emergency-custody-orders/,hurst tx emergency custody orders lawyer,,GAP,Closest match already used; no unique precise match.
18,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Marital vs Separate Property Lawyer | Cutrer Law Group,/marital-vs-separate-property/,hurst tx marital vs separate property lawyer,,GAP,Closest match already used; no unique precise match.
19,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Long-Term Spousal Support Lawyer | Cutrer Law Group,/long-term-spousal-support/,hurst tx long-term spousal support lawyer,,GAP,Closest match already used; no unique precise match.
20,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Guardianship of a Minor Lawyer | Cutrer Law Group,/guardianship-of-a-minor/,hurst tx guardianship of a minor lawyer,,GAP,Closest match already used; no unique precise match.
21,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Adult Guardianship Lawyer | Cutrer Law Group,/adult-guardianship/,hurst tx adult guardianship lawyer,,GAP,Closest match already used; no unique precise match.
22,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Challenging Paternity Lawyer | Cutrer Law Group,/challenging-paternity/,hurst tx challenging paternity lawyer,,GAP,No topical signal in service pages.
23,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Legal Separation Lawyer | Cutrer Law Group,/legal-separation/,hurst tx legal separation lawyer,,GAP,No topical signal in service pages.
24,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Divorce Mediation Lawyer | Cutrer Law Group,/divorce-mediation/,hurst tx divorce mediation lawyer,,GAP,Closest match already used; no unique precise match.
25,Awareness,Divorce,Procedural Page,Cluster,Hurst TX Collaborative Divorce Lawyer | Cutrer Law Group,/collaborative-divorce/,hurst tx collaborative divorce lawyer,,GAP,Closest match already used; no unique precise match.
26,Awareness,Guardianship,Procedural Page,Cluster,Hurst TX Temporary Guardianship Lawyer | Cutrer Law Group,/temporary-guardianship/,hurst tx temporary guardianship lawyer,,GAP,Closest match already used; no unique precise match.
27,Awareness,Divorce,Situational Page,Cluster,Hurst TX High-Conflict Divorce Lawyer | Cutrer Law Group,/high-conflict-divorce/,hurst tx high-conflict divorce lawyer,,GAP,Closest match already used; no unique precise match.
28,Awareness,Child Custody,Situational Page,Cluster,Hurst TX Relocation / Move-Away Custody Disputes Lawyer | Cutrer Law Group,/relocation-move-away-custody-disputes/,hurst tx relocation / move-away custody disputes lawyer,,GAP,Closest match already used; no unique precise match.
29,Awareness,Divorce,Situational Page,Cluster,Hurst TX Divorce Involving Business Ownership Lawyer | Cutrer Law Group,/divorce-involving-business-ownership/,hurst tx divorce involving business ownership lawyer,,GAP,Closest match already used; no unique precise match.
30,Awareness,Child Custody,Situational Page,Cluster,Hurst TX High-Conflict Custody Lawyer | Cutrer Law Group,/high-conflict-custody/,hurst tx high-conflict custody lawyer,,GAP,Closest match already used; no unique precise match.
31,Awareness,Child Support,Situational Page,Cluster,Hurst TX Child Support Disputes After Income Changes Lawyer | Cutrer Law Group,/child-support-disputes-after-income-changes/,hurst tx child support disputes after income changes lawyer,,GAP,Closest match already used; no unique precise match.
32,Awareness,Child Support,Situational Page,Cluster,Hurst TX Back Child Support / Arrears Lawyer | Cutrer Law Group,/back-child-support-arrears/,hurst tx back child support / arrears lawyer,,GAP,Closest match already used; no unique precise match.
33,Awareness,Divorce,Situational Page,Cluster,Hurst TX Long-Term Marriage Divorce Lawyer | Cutrer Law Group,/long-term-marriage-divorce/,hurst tx long-term marriage divorce lawyer,,GAP,Closest match already used; no unique precise match.
34,Awareness,Property Division,Situational Page,Cluster,Hurst TX Business Valuation and Division Lawyer | Cutrer Law Group,/business-valuation-and-division/,hurst tx business valuation and division lawyer,,GAP,Closest match already used; no unique precise match.
35,Awareness,Guardianship,Situational Page,Cluster,Hurst TX Emergency Guardianship Lawyer | Cutrer Law Group,/emergency-guardianship/,hurst tx emergency guardianship lawyer,,GAP,Closest match already used; no unique precise match.
36,Awareness,Child Custody,Situational Page,Cluster,Hurst TX Parenting Time Disputes Lawyer | Cutrer Law Group,/parenting-time-disputes/,hurst tx parenting time disputes lawyer,,GAP,No topical signal in service pages.
37,Awareness,Spousal Support / Alimony,Situational Page,Cluster,Hurst TX High-Income Spousal Support Disputes Lawyer | Cutrer Law Group,/high-income-spousal-support-disputes/,hurst tx high-income spousal support disputes lawyer,,GAP,Closest match already used; no unique precise match.
38,Awareness,Child Support,Situational Page,Cluster,Hurst TX Self-Employed or Variable Income Support Lawyer | Cutrer Law Group,/self-employed-or-variable-income-support/,hurst tx self-employed or variable income support lawyer,,GAP,Closest match already used; no unique precise match.
39,Awareness,Child Custody,Situational Page,Cluster,Hurst TX Supervised Visitation Lawyer | Cutrer Law Group,/supervised-visitation/,hurst tx supervised visitation lawyer,,GAP,No topical signal in service pages.
40,Awareness,Divorce,Situational Page,Cluster,Hurst TX Hidden Assets and Financial Misconduct Lawyer | Cutrer Law Group,/hidden-assets-and-financial-misconduct/,hurst tx hidden assets and financial misconduct lawyer,,GAP,No topical signal in service pages.
