Project Name,Tier,Description,Impact
Attorney Hub (Pages) - Identify if they are using the About page as the Attorney Hub (very common),,,
Location Hub (Pages if not multi or Hub not present),,,
"1. Core Practice Area Page – Divorce
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Divorce core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Divorce searches while providing a scalable structure for supporting pages."
"2. Core Practice Area Page – Child Custody
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Child Custody core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Child Custody searches while providing a scalable structure for supporting pages."
"3. Core Practice Area Page – Child Support
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Child Support core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Child Support searches while providing a scalable structure for supporting pages."
"4. Core Practice Area Page – Spousal Support / Alimony
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Spousal Support / Alimony core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Spousal Support / Alimony searches while providing a scalable structure for supporting pages."
"5. Core Practice Area Page – Property Division
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Property Division core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Property Division searches while providing a scalable structure for supporting pages."
"6. Core Practice Area Page – Paternity
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Paternity core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Paternity searches while providing a scalable structure for supporting pages."
"7. Core Practice Area Page – Guardianship
Sequencing: Build first as a core hub; used for navigation, homepage links, and cluster authority.",Tier 1,"Build the Guardianship core hub page to define the service, align to high-intent queries, and act as the primary internal linking source for related procedural and situational pages within this cluster.","Consolidates topical authority into a single canonical hub, improving crawl prioritization and internal PageRank flow. Strengthens relevance and ranking stability for core Guardianship searches while providing a scalable structure for supporting pages."
"8. Procedural Page – Contested Divorce (Linked from: Divorce Practice Area Page)
Sequencing: Publish immediately after the Divorce hub to complete the primary divorce intent pathway.",Tier 1,"Create the Contested Divorce procedural page explaining the legal/court-driven process, requirements, and what to expect. Linked from the Divorce Practice Area Page. Must link back to the Divorce Practice Area Page and cross-link only to directly relevant sibling procedural pages where comparison is helpful.","Expands topical depth and improves query matching for process-focused searches while reinforcing the authority of the parent hub via reciprocal linking. Helps search engines distinguish procedural intent from service and situational intent, improving ranking precision."
