topic_id,service_category,subservice_category,mapped_seed_keyword,mapped_page_url,supporting_topic,topic_target,primary_keyword_target,search_intent,cta_button_label,notes
TOPIC-001,Divorce,,divorce in Georgia,https://tdefamilylaw.com/family-law/divorce/,Georgia divorce filing steps and timeline checkpoints,filing sequence deadlines and procedural milestones,georgia divorce filing steps and timeline checkpoints,Service + Informational,Schedule consult,Week 01 | Divorce
TOPIC-002,Divorce,Uncontested Divorce,Uncontested Divorce in Georgia,https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/,When uncontested divorce is realistic in Georgia,eligibility conditions and agreement readiness checks,when uncontested divorce is realistic in georgia,Service + Informational,Contact us,Week 02 | Uncontested Divorce
TOPIC-003,Divorce,Contested Divorce,Contested Divorce in Georgia,https://tdefamilylaw.com/family-law/contested-divorce-lawyer/,What makes a Georgia divorce contested and how to prepare,dispute triggers evidence planning and litigation readiness,what makes a georgia divorce contested and how to prepare,Service + Informational,Start now,Week 03 | Contested Divorce
TOPIC-004,Divorce,High Net Worth Divorce,High Net Worth Divorce in Georgia,https://tdefamilylaw.com/family-law/high-asset-divorce/,Asset tracing priorities in Georgia high net worth divorce,valuation discovery and separate-vs-marital asset analysis,asset tracing priorities in georgia high net worth divorce,Service + Informational,Schedule consult,Week 04 | High Net Worth Divorce
TOPIC-005,Divorce,LGBTQ+ Divorce,LGBTQ+ Divorce in Georgia,https://tdefamilylaw.com/family-law/lgbtq-divorce/,Legal planning issues in LGBTQ+ divorce matters in Georgia,parenting property and procedural considerations for LGBTQ+ spouses,legal planning issues in lgbtq+ divorce matters in georgia,Service + Informational,Contact us,Week 05 | LGBTQ+ Divorce
TOPIC-006,Divorce,Legal Separation,Legal Separation in Georgia,https://tdefamilylaw.com/family-law/legal-separation/,When legal separation is a better fit in Georgia family law,separation-vs-divorce decision factors and legal consequences,when legal separation is a better fit in georgia family law,Service + Informational,Learn more,Week 06 | Legal Separation
TOPIC-007,Child Custody,,child custody in Georgia,https://tdefamilylaw.com/family-law/child-custody-lawyer/,Best-interest factors used in Georgia custody decisions,child-focused judicial criteria and evidentiary priorities,best-interest factors used in georgia custody decisions,Service + Informational,Contact us,Week 07 | Child Custody
TOPIC-008,Child Custody,Custody Modification,Custody Modification in Georgia,https://tdefamilylaw.com/family-law/custody-modification-lawyer/,When Georgia custody orders qualify for modification,material-change threshold and modification filing requirements,when georgia custody orders qualify for modification,Service + Informational,Start now,Week 08 | Custody Modification
TOPIC-009,Child Custody,Parental Visitation,Parental Visitation in Georgia,https://tdefamilylaw.com/family-law/parental-visitation/,How Georgia visitation schedules are structured,parenting-time framework holiday allocation and logistics,how georgia visitation schedules are structured,Service + Informational,Learn more,Week 09 | Parental Visitation
TOPIC-010,Child Custody,Visitation Modification,Visitation Modification in Georgia,https://tdefamilylaw.com/family-law/visitation-modification/,Evidence needed to modify visitation in Georgia,proof standards for parenting-time schedule changes,evidence needed to modify visitation in georgia,Service + Informational,Contact us,Week 10 | Visitation Modification
TOPIC-011,Spousal Support,,alimony in Georgia,https://tdefamilylaw.com/family-law/alimony-spousal-support/,How Georgia courts assess alimony amount and duration,financial need ability-to-pay and duration factors,how georgia courts assess alimony amount and duration,Service + Informational,Schedule consult,Week 11 | Spousal Support
TOPIC-012,Prenuptial Agreements,,prenuptial agreements Georgia,https://tdefamilylaw.com/family-law/prenuptial-agreement-atlanta/,What makes a prenup enforceable in Georgia,contract validity standards disclosure and execution rules,what makes a prenup enforceable in georgia,Service + Informational,Learn more,Week 12 | Prenuptial Agreements
TOPIC-013,Postnuptial Agreements,,postnuptial agreements Georgia,https://tdefamilylaw.com/family-law/postnuptial-agreement-lawyer/,When a Georgia postnuptial agreement should be used,marriage-stage risk planning and enforceability requirements,when a georgia postnuptial agreement should be used,Service + Informational,Contact us,Week 13 | Postnuptial Agreements
TOPIC-014,Property Division,,property division in Georgia,https://tdefamilylaw.com/family-law/property-division-enforcement/,Equitable division fundamentals for Georgia marital property,classification valuation and distribution principles,equitable division fundamentals for georgia marital property,Service + Informational,Start now,Week 14 | Property Division
TOPIC-015,Parental Rights,,parental rights in Georgia,https://tdefamilylaw.com/family-law/parental-rights/,How parental rights are established and defended in Georgia,rights allocation parental fitness and procedural safeguards,how parental rights are established and defended in georgia,Service + Informational,Contact us,Week 15 | Parental Rights
TOPIC-016,Parental Rights,Fathers Rights,father's rights in Georgia,https://tdefamilylaw.com/family-law/fathers-rights-lawyer/,Building a fathers’ rights evidence record in Georgia,documentation strategy for parenting role and decision-making participation,building a fathers’ rights evidence record in georgia,Service + Informational,Schedule consult,Week 16 | Fathers Rights
