Cluster,Subcluster,Qualifier,Seed Keyword,Keyword,Intent,Funnel Stage,Search Volume,Keyword Difficulty,CPC,SERP Features,Source,Current Position,Ranking URL,GSC Impressions,GSC Clicks,GSC Position,Notes,Page Type,Page Theme Source
Blog Content,AI & Learning Technology,,ai learning technology,ai to create training materials,commercial,MOFU,50.0,22.0,8.57,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",SEMrush;GSC Query,96.0,https://omnipress.com/blog/combining-ai-with-printed-course-materials-to-enhance-in-person-training/,1341.0,0.0,45.21,GSC high impressions page2+; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,ai learning technology,ai for associations,commercial,MOFU,50.0,10.0,9.68,"Video, Video Carousel, Related searches, AI overview",SEMrush;GSC Query,42.0,https://omnipress.com/blog/harnessing-ai-for-associations-enhancing-educational-content-and-member-engagement/,604.0,0.0,33.17,High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,associations can use ai to personalize learning,commercial,MOFU,,,,,Seed,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,fast data educational programs agile,commercial,MOFU,,,,,Seed,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,what is associations can use ai to personalize learning,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,how to associations can use ai to personalize learning,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,associations can use ai to personalize learning tips,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,associations can use ai to personalize learning guide,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,associations can use ai to personalize learning checklist,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,associations can use ai to personalize learning,associations can use ai to personalize learning best practices,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/how-associations-can-use-ai-to-personalize-learning/,,,,Needs metric pull; High page opportunity,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,what is fast data educational programs agile,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,how to fast data educational programs agile,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,fast data educational programs agile tips,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,fast data educational programs agile guide,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,fast data educational programs agile checklist,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
Blog Content,AI & Learning Technology,,fast data educational programs agile,fast data educational programs agile best practices,informational,TOFU,,,,,Expansion,,https://omnipress.com/blog/fast-data-educational-programs-agile/,,,,Needs metric pull,BLOG,All.csv
