Practice Area,Page URL,GTM Trigger Path,Page Intent,Existing Schema,Schema Markup (JSON-LD)
Divorce,https://tdefamilylaw.com/family-law/divorce/,/family-law/divorce/,General divorce expertise hub - captures broad "divorce lawyer" intent,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/divorce/#service"",""name"":""TDE Family Law & Divorce Attorneys - Divorce Services"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Experienced Atlanta divorce lawyers providing compassionate legal representation for all divorce matters including contested, uncontested, and high-asset cases in Atlanta and Metro Georgia."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/divorce/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Divorce Legal Services"",""description"":""Comprehensive divorce representation including contested, uncontested, and collaborative divorce options."",""url"":""https://tdefamilylaw.com/family-law/divorce/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Divorce"",""sameAs"":""https://en.wikipedia.org/wiki/Divorce""},{""@type"":""Thing"",""name"":""Family Law"",""sameAs"":""https://en.wikipedia.org/wiki/Family_law""}]}"
Uncontested Divorce,https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/,/family-law/uncontested-divorce-lawyer/,Lead gen for amicable divorce with mutual agreement on terms,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/#service"",""name"":""TDE Family Law & Divorce Attorneys - Uncontested Divorce"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Atlanta uncontested divorce attorneys helping couples achieve swift, cost-effective divorce settlements when both parties agree on key terms."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Uncontested Divorce Services"",""description"":""Streamlined divorce process for couples who agree on property division, custody, and support."",""url"":""https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Uncontested Divorce"",""sameAs"":""https://en.wikipedia.org/wiki/Uncontested_divorce""},{""@type"":""Thing"",""name"":""Family Law"",""sameAs"":""https://en.wikipedia.org/wiki/Family_law""}]}"
Contested Divorce,https://tdefamilylaw.com/family-law/contested-divorce-lawyer/,/family-law/contested-divorce-lawyer/,Lead gen for litigated divorce requiring court intervention,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/contested-divorce-lawyer/#service"",""name"":""TDE Family Law & Divorce Attorneys - Contested Divorce"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Aggressive Atlanta contested divorce lawyers providing skilled litigation when spouses cannot agree on custody, property division, or support."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/contested-divorce-lawyer/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Contested Divorce Litigation"",""description"":""Aggressive courtroom representation for complex divorces involving disputes over assets, custody, and support."",""url"":""https://tdefamilylaw.com/family-law/contested-divorce-lawyer/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Contested Divorce"",""sameAs"":""https://en.wikipedia.org/wiki/Divorce""},{""@type"":""Thing"",""name"":""Family Law"",""sameAs"":""https://en.wikipedia.org/wiki/Family_law""}]}"
High Asset Divorce,https://tdefamilylaw.com/family-law/high-asset-divorce/,/family-law/high-asset-divorce/,High-value complex asset protection and division leads,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/high-asset-divorce/#service"",""name"":""TDE Family Law & Divorce Attorneys - High Asset Divorce"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Atlanta high asset divorce attorneys with expertise in complex property division, business valuations, and protecting substantial marital estates."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/high-asset-divorce/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""},{""@type"":""Place"",""name"":""Sandy Springs""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""High Asset Divorce Services"",""description"":""Complex divorce representation for high-net-worth individuals including business valuations, forensic accounting, and asset protection."",""url"":""https://tdefamilylaw.com/family-law/high-asset-divorce/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""High Net Worth Divorce"",""sameAs"":""https://en.wikipedia.org/wiki/Divorce""},{""@type"":""Thing"",""name"":""Property Division"",""sameAs"":""https://en.wikipedia.org/wiki/Division_of_property""}]}"
LGBTQ Divorce,https://tdefamilylaw.com/family-law/lgbtq-divorce/,/family-law/lgbtq-divorce/,Niche leads for same-sex divorce and LGBTQ+ family law,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/lgbtq-divorce/#service"",""name"":""TDE Family Law & Divorce Attorneys - LGBTQ Divorce"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Inclusive Atlanta LGBTQ divorce lawyers providing compassionate representation for same-sex couples navigating divorce, custody, and property matters."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/lgbtq-divorce/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Virginia-Highland""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""LGBTQ Divorce Services"",""description"":""Inclusive divorce representation for same-sex couples including custody, property division, and spousal support."",""url"":""https://tdefamilylaw.com/family-law/lgbtq-divorce/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Same-sex Marriage"",""sameAs"":""https://en.wikipedia.org/wiki/Same-sex_marriage""},{""@type"":""Thing"",""name"":""Family Law"",""sameAs"":""https://en.wikipedia.org/wiki/Family_law""}]}"
Child Custody,https://tdefamilylaw.com/family-law/child-custody-lawyer/,/family-law/child-custody-lawyer/,Custody dispute lead generation - high emotional urgency,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/child-custody-lawyer/#service"",""name"":""TDE Family Law & Divorce Attorneys - Child Custody"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Dedicated Atlanta child custody lawyers fighting for your parental rights and your children's best interests in custody disputes."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/child-custody-lawyer/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Child Custody Legal Services"",""description"":""Comprehensive custody representation including sole custody, joint custody, and custody modifications."",""url"":""https://tdefamilylaw.com/family-law/child-custody-lawyer/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Child Custody"",""sameAs"":""https://en.wikipedia.org/wiki/Child_custody""},{""@type"":""Thing"",""name"":""Family Law"",""sameAs"":""https://en.wikipedia.org/wiki/Family_law""}]}"
Alimony / Spousal Support,https://tdefamilylaw.com/family-law/alimony-spousal-support/,/family-law/alimony-spousal-support/,Alimony and spousal maintenance negotiations and litigation,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/alimony-spousal-support/#service"",""name"":""TDE Family Law & Divorce Attorneys - Alimony"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Skilled Atlanta alimony lawyers helping clients secure fair spousal support through negotiation or litigation in divorce proceedings."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/alimony-spousal-support/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Alimony Legal Services"",""description"":""Spousal support representation including temporary alimony, permanent alimony, and alimony modifications."",""url"":""https://tdefamilylaw.com/family-law/alimony-spousal-support/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Alimony"",""sameAs"":""https://en.wikipedia.org/wiki/Alimony""},{""@type"":""Thing"",""name"":""Spousal Support"",""sameAs"":""https://en.wikipedia.org/wiki/Alimony""}]}"
Visitation & Parenting,https://tdefamilylaw.com/family-law/parental-visitation/,/family-law/parental-visitation/,Visitation rights and parenting time schedule leads,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/parental-visitation/#service"",""name"":""TDE Family Law & Divorce Attorneys - Visitation"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Atlanta parental visitation attorneys helping parents establish and protect their rights to meaningful time with their children."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/parental-visitation/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Visitation Rights Services"",""description"":""Legal representation for parenting time schedules, visitation enforcement, and visitation modifications."",""url"":""https://tdefamilylaw.com/family-law/parental-visitation/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Child Visitation"",""sameAs"":""https://en.wikipedia.org/wiki/Child_custody""},{""@type"":""Thing"",""name"":""Parenting Time"",""sameAs"":""https://en.wikipedia.org/wiki/Child_custody""}]}"
Property Division,https://tdefamilylaw.com/family-law/property-division-enforcement/,/family-law/property-division-enforcement/,Marital asset division and enforcement of court orders,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/property-division-enforcement/#service"",""name"":""TDE Family Law & Divorce Attorneys - Property Division"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Atlanta property division attorneys ensuring equitable distribution of marital assets and enforcement of divorce settlement agreements."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/property-division-enforcement/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Property Division Services"",""description"":""Equitable distribution of marital property including real estate, retirement accounts, and business interests."",""url"":""https://tdefamilylaw.com/family-law/property-division-enforcement/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Division of Property"",""sameAs"":""https://en.wikipedia.org/wiki/Division_of_property""},{""@type"":""Thing"",""name"":""Marital Property"",""sameAs"":""https://en.wikipedia.org/wiki/Marital_property""}]}"
Parental Rights,https://tdefamilylaw.com/family-law/parental-rights/,/family-law/parental-rights/,Parental rights protection and advocacy,"WebPage; Organization; BreadcrumbList","{""@context"":""https://schema.org"",""@type"":""LegalService"",""@id"":""https://tdefamilylaw.com/family-law/parental-rights/#service"",""name"":""TDE Family Law & Divorce Attorneys - Parental Rights"",""legalName"":""TDE Family Law & Divorce Attorneys"",""description"":""Atlanta parental rights lawyers protecting and advocating for parents facing challenges to their custody and visitation rights."",""parentOrganization"":{""@type"":""Organization"",""@id"":""https://tdefamilylaw.com/#organization"",""name"":""TDE Family Law & Divorce Attorneys"",""url"":""https://tdefamilylaw.com/""},""url"":""https://tdefamilylaw.com/family-law/parental-rights/"",""logo"":""https://tdefamilylaw.com/wp-content/uploads/2025/08/TDE-Family-Law-Attorneys-Logo.png"",""image"":""https://tdefamilylaw.com/wp-content/uploads/2023/01/atlanta-divorce-office.jpg"",""priceRange"":""Call for consultation"",""telephone"":""+1-404-905-1310"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""50 Hurt Plaza SE, Suite 1250"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30303"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7537,""longitude"":-84.3887},""hasMap"":""https://www.google.com/maps?cid=3134903798714756161"",""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""09:00"",""closes"":""17:00""}],""areaServed"":[{""@type"":""City"",""name"":""Atlanta""},{""@type"":""AdministrativeArea"",""name"":""Fulton County""},{""@type"":""Place"",""name"":""Downtown Atlanta""},{""@type"":""Place"",""name"":""Midtown Atlanta""},{""@type"":""Place"",""name"":""Buckhead""}],""additionalProperty"":[{""@type"":""PropertyValue"",""name"":""Located In"",""value"":""Hurt Plaza Building""},{""@type"":""PropertyValue"",""name"":""Nearby Landmark"",""value"":""Fulton County Courthouse""}],""makesOffer"":[{""@type"":""Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Parental Rights Legal Services"",""description"":""Legal advocacy for parental rights protection, establishment of paternity, and defense against termination."",""url"":""https://tdefamilylaw.com/family-law/parental-rights/""}}],""knowsAbout"":[{""@type"":""Thing"",""name"":""Parental Rights"",""sameAs"":""https://en.wikipedia.org/wiki/Parental_rights""},{""@type"":""Thing"",""name"":""Family Law"",""sameAs"":""https://en.wikipedia.org/wiki/Family_law""}]}"
