Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Gap Status,Notes,Keyword Intent,AI Overview,MSV
1,Core,Brand,Home,Navigational,TDE Law | Atlanta Family Law Firm,https://tdefamilylaw.com/,TDE Law,https://tdefamilylaw.com/,MAPPED,✅ Homepage matches brand.,N/A,N/A,3500
2,Core,Divorce,Service Page,Parent,Divorce Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/divorce-lawyer-georgia/,divorce in Georgia,https://tdefamilylaw.com/family-law/divorce/,MAPPED,✅ Good coverage. URL is geo-specific to Atlanta but serves state intent.,Research,Yes,1900
3,Core,Custody,Service Page,Parent,Child Custody Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/child-custody-lawyer-georgia/,child custody in Georgia,https://tdefamilylaw.com/family-law/child-custody-lawyer/,MAPPED,✅ Mapped to main custody page.,Research,Yes,1000
4,Core,Support,Service Page,Parent,Child Support Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/child-support-lawyer-georgia/,child support in Georgia,https://tdefamilylaw.com/child-support-calculations-in-georgia/,PARTIAL,⚠️ No main service page found. Mapped to blog post about calculations.,Research,Yes,1000
5,Core,Alimony,Service Page,Parent,Alimony Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/alimony-lawyer-georgia/,alimony in Georgia,https://tdefamilylaw.com/family-law/alimony-spousal-support/,MAPPED,✅ Dedicated service page exists.,Research,Yes,480
6,Core,Assets,Service Page,Parent,Property Division Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/property-division-lawyer-georgia/,property division in Georgia,https://tdefamilylaw.com/family-law/property-division-enforcement/,PARTIAL,⚠️ Existing page focuses on "Enforcement" rather than general division.,Research,Yes,320
7,Core,Paternity,Service Page,Parent,Paternity Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/paternity-lawyer-georgia/,paternity in Georgia,https://tdefamilylaw.com/family-law/paternity-lawyer-in-atlanta/,MAPPED,✅ Dedicated service page exists.,Research,Yes,260
8,Core,Guardianship,Service Page,Parent,Guardianship Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/guardianship-lawyer-georgia/,guardianship in Georgia,,GAP - MISSING,❌ No dedicated guardianship page found.,Research,Yes,210
9,Core,Adoption,Service Page,Parent,Adoption Lawyer in Georgia | Firm Name,https://tdefamilylaw.com/adoption-lawyer-georgia/,adoption in Georgia,,GAP - MISSING,❌ No dedicated adoption page found.,Research,Yes,480
10,Core,Prenup,Service Page,Parent,Prenuptial Agreement Lawyer Georgia | Firm Name,https://tdefamilylaw.com/prenuptial-agreement-lawyer-georgia/,prenuptial agreements Georgia,https://tdefamilylaw.com/family-law/prenuptial-agreement-atlanta/,MAPPED,✅ Dedicated service page exists.,Research,Yes,390
11,Core,Locations,Location Page,Child,TDE Law Office Locations | Georgia,https://tdefamilylaw.com/locations/,TDE Law office locations Georgia,https://tdefamilylaw.com/contact-us/,PARTIAL,⚠️ Mapped to Contact page; no specific locations hub.,Purchase,No,50
12,Core,Locations,Location Page,Child,Atlanta Divorce Lawyers | Firm Name,https://tdefamilylaw.com/atlanta-divorce-lawyers/,Atlanta divorce lawyers,https://tdefamilylaw.com/family-law/divorce/,MAPPED,✅ Divorce page targets Atlanta specifically.,Purchase,No,1600
13,Core,Locations,Location Page,Child,Gwinnett Divorce Lawyers | Firm Name,https://tdefamilylaw.com/gwinnett-divorce-lawyers/,Gwinnett divorce lawyers,https://tdefamilylaw.com/gwinnett-divorce-attorney/,MAPPED,✅ Dedicated location page exists.,N/A,N/A,210
14,Core,Attorneys,Bio Page,Child,Georgia Attorneys | Firm Name,https://tdefamilylaw.com/attorneys/,Georgia attorneys,https://tdefamilylaw.com/atlanta-attorneys/,MAPPED,✅ Team hub page exists.,Purchase,No,110
15,Core,Attorneys,Bio Page,Child,Tessie D. Edwards | Attorney Bio,https://tdefamilylaw.com/attorneys/tessie-edwards/,attorney Tessie D. Edwards,https://tdefamilylaw.com/tessie-d-edwards/,MAPPED,✅ Founder bio exists.,N/A,N/A,90
16,Core,Attorneys,Bio Page,Child,Lolita K. Beyah | Attorney Bio,https://tdefamilylaw.com/attorneys/lolita-beyah/,attorney Lolita K. Beyah,https://tdefamilylaw.com/atlanta-attorneys/lolita-k-beyah/,MAPPED,✅ Bio exists.,N/A,N/A,20
17,Core,Attorneys,Bio Page,Child,John Evans | Attorney Bio,https://tdefamilylaw.com/attorneys/john-evans/,attorney John Evans,https://tdefamilylaw.com/atlanta-attorneys/john-evans/,MAPPED,✅ Bio exists.,N/A,N/A,20
18,Core,Attorneys,Bio Page,Child,Barry Eidex | Attorney Bio,https://tdefamilylaw.com/attorneys/barry-eidex/,attorney Barry Eidex,https://tdefamilylaw.com/atlanta-attorneys/barry-eidex/,MAPPED,✅ Bio exists.,N/A,N/A,20
19,Core,Attorneys,Bio Page,Child,McCoy G. Martinez | Attorney Bio,https://tdefamilylaw.com/attorneys/mccoy-martinez/,attorney McCoy G. Martinez,https://tdefamilylaw.com/atlanta-attorneys/mccoy-g-martinez/,MAPPED,✅ Bio exists.,N/A,N/A,20
20,Core,Attorneys,Bio Page,Child,Vernon Foley | Attorney Bio,https://tdefamilylaw.com/attorneys/vernon-foley/,attorney Vernon Foley,https://tdefamilylaw.com/atlanta-attorneys/vernon-foley/,MAPPED,✅ Bio exists.,N/A,N/A,20
21,Research,Divorce,Guide,Long-form,How to File for Divorce in Georgia | Guide,https://tdefamilylaw.com/how-to-file-divorce-georgia/,how to file for divorce in Georgia,,GAP - MISSING,❌ High intent guide missing.,Research,Yes,880
