Existing Client URL,Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Target Seed Keyword,Idealized URL,Gap Status,Notes,Keyword Intent
,AH,Phase 1,Attorney/Team,Hub,Trust/Conversion,Our Attorneys | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/attorneys/,GAP,"No dedicated attorney directory/team hub detected (e.g., /attorneys/ or /our-team/). About page exists (https://www.azfamilylawattorneys.com/about/) but does not appear to be an attorney listing based on H1/title. Individual attorney bio pages exist (examples): https://www.azfamilylawattorneys.com/child-support/; https://www.azfamilylawattorneys.com/divorce/; https://www.azfamilylawattorneys.com/flagstaff-military-divorce/.",Service
https://www.azfamilylawattorneys.com/locations/,LH,Phase 1,Locations,Hub,Local Hub,Phoenix Family Law Office | Arizona Family Law Attorneys,Our Family Law Offices in Arizona,https://www.azfamilylawattorneys.com/locations/,MAPPED,"Exact match to ideal URL path (/locations/). Note: Multiple location-specific “military divorce” pages exist (e.g., Flagstaff/Tucson/Yuma/Cochise County) with similar targeting; review for overlap/cannibalization.",Service
https://www.azfamilylawattorneys.com/divorce/,1,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Divorce Lawyers | Arizona Family Law Attorneys,Divorce Attorneys in Arizona,https://www.azfamilylawattorneys.com/divorce/,MAPPED,Exact match to ideal URL path (/divorce/).,Service
https://www.azfamilylawattorneys.com/child-custody/,2,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Child Custody Lawyers | Arizona Family Law Attorneys,Child Custody Attorneys in Arizona,https://www.azfamilylawattorneys.com/child-custody/,MAPPED,Exact match to ideal URL path (/child-custody/).,Service
https://www.azfamilylawattorneys.com/child-support/,3,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Child Support Lawyers | Arizona Family Law Attorneys,Child Support Attorneys in Arizona,https://www.azfamilylawattorneys.com/child-support/,MAPPED,Exact match to ideal URL path (/child-support/).,Service
https://www.azfamilylawattorneys.com/spousal-support/,4,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Spousal Support / Alimony Lawyers | Arizona Family Law Attorneys,Spousal Maintenance Attorneys in Arizona,https://www.azfamilylawattorneys.com/spousal-support/,MAPPED,Exact match to ideal URL path (/spousal-support/).,Service
,5,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Property Division Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/property-division/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/special-circumstances-in-property-division-for-military-divorces-involving-multiple-deployments/; https://www.azfamilylawattorneys.com/how-does-arizonas-community-property-law-impact-asset-division-during-a-divorce/,Service
https://www.azfamilylawattorneys.com/paternity/,6,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Paternity Lawyers | Arizona Family Law Attorneys,Paternity Attorneys in Arizona,https://www.azfamilylawattorneys.com/paternity/,MAPPED,Exact match to ideal URL path (/paternity/).,Service
https://www.azfamilylawattorneys.com/guardianship/,7,Phase 1,Core Practice Area,Hub,Service Hub,Phoenix Guardianship Lawyers | Arizona Family Law Attorneys,Guardianship Attorneys in Arizona,https://www.azfamilylawattorneys.com/guardianship/,MAPPED,Exact match to ideal URL path (/guardianship/).,Service
,8,Phase 1,Procedural,Procedural,Service Cluster,Phoenix Contested Divorce Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/contested-divorce/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,9,Phase 1,Procedural,Procedural,Service Cluster,Phoenix Uncontested Divorce Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/uncontested-divorce/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,10,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Child Custody Modification Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/child-custody-modification/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-does-arizona-address-parental-relocation-and-its-impact-on-child-custody-arrangements/; https://www.azfamilylawattorneys.com/what-child-custody-rights-does-a-father-have-in-arizona/; https://www.azfamilylawattorneys.com/what-rights-do-service-members-have-in-divorce-cases-involving-child-custody/...,Service
,11,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Child Support Modification Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-support/child-support-modification/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-is-child-support-calculated-for-active-duty-military-parents/; https://www.azfamilylawattorneys.com/how-child-support-adjustments-are-made-for-parents-with-variable-income/; https://www.azfamilylawattorneys.com/how-to-get-child-support-arrears-dismissed/...,Service
,12,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Child Support Enforcement Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-support/child-support-enforcement/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-is-child-support-calculated-for-active-duty-military-parents/; https://www.azfamilylawattorneys.com/how-child-support-adjustments-are-made-for-parents-with-variable-income/; https://www.azfamilylawattorneys.com/how-to-get-child-support-arrears-dismissed/...,Service
,13,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Parenting Plans Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/parenting-plans/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-military-deployments-affect-court-mandated-parenting-plans/; https://www.azfamilylawattorneys.com/how-are-parenting-plans-modified-during-a-military-parents-deployment/,Service
,14,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Temporary Spousal Support Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/temporary-spousal-support/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/spousal-maintenance-in-arizona-determining-eligibility-and-amount/; https://www.azfamilylawattorneys.com/addressing-financial-discrepancies-in-arizona-alimony-and-spousal-support-cases/; https://www.azfamilylawattorneys.com/how-is-alimony-determined/,Service
,15,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Equitable Distribution Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/property-division/equitable-distribution/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/special-circumstances-in-property-division-for-military-divorces-involving-multiple-deployments/; https://www.azfamilylawattorneys.com/how-does-arizonas-community-property-law-impact-asset-division-during-a-divorce/,Service
,16,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Establishing Paternity Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/paternity/establishing-paternity/,GAP,No dedicated service page detected. Blog page exists (https://www.azfamilylawattorneys.com/establish-paternity-arizona/) but should not be used to satisfy this row.,Service
,17,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Emergency Custody Orders Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/emergency-custody-orders/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/child-custody/) but should not be used to satisfy this row.,Service
,18,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Marital vs Separate Property Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/property-division/marital-vs-separate-property/,MISSING,No service page match found and no related blog coverage detected in provided metadata.,Service
,19,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Long-Term Spousal Support Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/long-term-spousal-support/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/spousal-maintenance-in-arizona-determining-eligibility-and-amount/; https://www.azfamilylawattorneys.com/addressing-financial-discrepancies-in-arizona-alimony-and-spousal-support-cases/; https://www.azfamilylawattorneys.com/how-is-alimony-determined/,Service
,20,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Guardianship of a Minor Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/guardianship/guardianship-of-a-minor/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/guardianship/) but should not be used to satisfy this row.,Service
,21,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Adult Guardianship Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/guardianship/adult-guardianship/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/guardianship/) but should not be used to satisfy this row.,Service
,22,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Challenging Paternity Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/paternity/challenging-paternity/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/paternity/) but should not be used to satisfy this row.,Service
