URL,,Type,Status Code,Title 1,Meta Description 1,H1-1,L3M Clicks,Prev 3M Clicks,Δ Clicks %,L3M Impressions,Prev 3M Impressions,Δ Impr %,L3M New Users,Prev 3M New Users,Δ Users %,L3M Key Events,Prev 3M Key Events,Δ Conv %
https://www.bankfivenine.com/locations/branch/grafton/,/locations/branch/grafton,Location,200,"Bank Five Nine - Grafton, WI","Community bank in Grafton WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Grafton,66,49,35%,3926,6449,-39%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/hartland/,/locations/branch/hartland,Location,200,"Bank Five Nine - Hartland, WI","Community bank in Hartland WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Hartland,75,51,47%,5665,6282,-10%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/hartford/,/locations/branch/hartford,Location,200,"Bank Five Nine - Hartford, WI","Community bank in Hartford WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Hartford,74,72,3%,7098,9067,-22%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/milwaukee/,/locations/branch/milwaukee,Location,200,"Bank Five Nine - Milwaukee, WI","Community bank in Milwaukee WI . We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Milwaukee,62,52,19%,15016,16637,-10%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/menomonee-falls/,/locations/branch/menomonee-falls,Location,200,"Bank Five Nine - Menomonee Falls, WI","Community bank in Menomonee Falls WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Menomonee Falls,44,34,29%,3432,4900,-30%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/brookfield-capitol-dr/,/locations/branch/brookfield-capitol-dr,Location,200,"Bank Five Nine - Capitol Drive, Brookfield, WI","Visit the Bank Five Nine Brookfield Capitol Drive branch. Get directions, check hours, and find personalized service near you.","Bank Five Nine - Capitol Drive, Brookfield",59,63,-6%,7328,9127,-20%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/glendale/,/locations/branch/glendale,Location,200,"Bank Five Nine - Glendale, WI","Community bank in Glendale WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Glendale,22,25,-12%,3245,3980,-18%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/brookfield-north-ave/,/locations/branch/brookfield-north-ave,Location,200,"Bank Five Nine - North Avenue, Brookfield, WI","Visit the Bank Five Nine Brookfield North Ave branch. Get directions, check hours, and find personalized service near you.","Bank Five Nine - North Avenue, Brookfield",45,36,25%,4312,3019,43%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/germantown/,/locations/branch/germantown,Location,200,"Bank Five Nine - Germantown, WI","Community bank in Germantown WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Germantown,59,58,2%,5594,7370,-24%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/mequon/,/locations/branch/mequon,Location,200,"Bank Five Nine - Mequon, WI","Community bank in Mequon WI. We offer checking, savings, online accounts, & more for personal and business banking needs. Schedule an Appointment.",Bank Five Nine - Mequon,32,46,-30%,3046,3977,-23%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/menomonee-falls-loan-office/,/locations/branch/menomonee-falls-loan-office,Location,200,Menomonee Falls Mortgage Lender - Bank Five Nine,Visit Bank Five Nine's Menomonee Falls Loan Office for expert lending solutions. Achieve your financial goals with our professionals. Come in today!,Bank Five Nine - Menomonee Falls Mortgage Lender,6,6,0%,1810,2463,-27%,7,9,-28.57%,0,0,N/A
https://www.bankfivenine.com/locations/branch/burlington/,/locations/branch/burlington,Location,200,Burlington (Loan Office) - Bank Five Nine,"Visit BankFiveNine's Burlington branch for all your banking needs. Find location details, hours, and services offered to assist you with your financial goals.",Bank Five Nine - Burlington Mortgage Lender,7,11,-36%,1366,1204,13%,10,12,-20.00%,1,0,100.00%
https://www.bankfivenine.com/locations/branch/rothschild/,/locations/branch/rothschild,Location,200,Rothschild Mortgage Lender - Bank Five Nine,"Bank Five Nine offers a variety of home loan options to meet your needs. Plus, we make mortgage lending a personal experience! Visit our Rothschild branch!",Bank Five Nine - Rothschild Mortgage Lender,17,31,-45%,2865,2423,18%,22,26,-18.18%,2,0,100.00%
https://www.bankfivenine.com/locations/branch/oconomowoc/,/locations/branch/oconomowoc,Location,200,"Bank Five Nine - Oconomowoc, WI","Visit the Bank Five Nine Oconomowoc W Wisconsin Ave branch. Get directions, check hours, and find personalized local banking services.",Bank Five Nine - Oconomowoc,679,711,-5%,57334,76285,-25%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
